Overall Rule Priority,Rule,Module,Algorithm,Rule or API?,Rule Description,Status,Rule UID,Feedback - Revised,Feedback Layers,Unique feedback for each activity?,Give feedback for Turk workers?,Bolding?,Bolding: Is this what the engine returns now?,Text highlighting?,Application,Spelling corrected in background?,Reported to teachers?,Combined Concept,Notes,Notes for Feedback,Level 2 Concept,Level 1 Concept,Level 0 Concept,Feedback - Original,API Priority,Rule Priority - Opinion,Uses SpaCy?,Status Notes
9,Common Opinionated Phrases Keyword Check,Opinion API,Opinion/Tone Keyword Check,Rule,Checks if a response contains an opinionated phrase based on the linked list,On Production,7ade48ba-f073-4ce5-9c54-501d556e99e2,"Revise your work. The bolded phrase expresses an opinion. Instead, focus your response on ideas you read in the text.",1,No,Yes,"Bold the entire phrase. If the rule identifies part of a word (e.g., s important), the whole phrase should be bolded (e.g. is important) ",Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Opinionated Phrases to Maintain an Academic Tone,,,Academic Writing,Using Academic Tone,Avoiding Opinionated Phrases to Maintain an Academic Tone,N/A,,4,No,
10,"Using ""should"" in an opinion",Opinion API,Modals of Obligation,Rule,"Checks if a response contains ""should"" in the first subject/verb pair, indicating an opinion.",On Production,aa5884e6-2646-4f4b-b0ed-938a2eab0507,"Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word should, and make sure that your response expresses an idea from the text.",1,No,Yes,Bold should,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Should to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Should to Maintain an Objective Tone,,,5,Yes,
11,"Using ""must"" in an opinion",Opinion API,Modals of Obligation,Rule,"Checks if a response contains ""must"" in the first subject/verb pair, indicating an opinion.",On Production,5545d756-9ba5-44d5-829a-0479cbbe941e,"Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word must, and make sure that your response expresses an idea from the text.",1,No,Yes,Bold must,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Must to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Must to Maintain an Objective Tone,N/A,,6,Yes,
12,"Using ""need"" in an opinion",Opinion API,Modals of Obligation,Rule,"Checks if a response contains ""need"" in the first subject/verb pair, indicating an opinion.",On Production,f7d30611-ff7b-4152-b67a-1c412d8bef02,"Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word need, and make sure that your response expresses an idea from the text.",1,No,Yes,Bold need,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Need to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Need to Maintain an Objective Tone,"Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. To revise your response, delete the word ""must,"" and make sure that your response is supported by the text. ",,7,Yes,
13,"Using ""ought"" in an opinion",Opinion API,Modals of Obligation,Rule,"Checks if a response contains ""ought"" in the first subject/verb pair, indicating an opinion.",On Production,938dcafb-7b03-4fce-bacb-0ec690eccec0,"Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word ought and make sure that your response expresses an idea from the text.",1,No,Yes,Bold ought,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Ought to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Ought to Maintain an Objective Tone,,,8,Yes,
14,First-Person Reference Keyword Check,Opinion API,Opinion/Tone Keyword Check,Rule,Checks if a response contains a first-person reference based on the list in the card,On Production,a900cbe9-f50b-4760-878f-2e3e530db81d,"Words like I, me, my, mine, we, us, and our are used to express your own point of view. For this activity, focus on the ideas in the text instead. Rewrite your response without the bolded word, and make sure your response only includes ideas and perspectives found in the text.",1,No,Yes,Bold the first-person reference,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding First-Person to Maintain an Academic Tone,,,Academic Writing,Using Academic Tone,Avoiding First-Person to Maintain an Academic Tone,"Consider how you can revise your work. Remember, your response should be based on what you learned in the passage. When talking about ideas from the passage, avoid using opinionated phrases like the one bolded in your response.",,9,No,
15,Second-Person Reference Keyword Check,Opinion API,Opinion/Tone Keyword Check,Rule,Checks if a response contains a second-person reference based on the list in the card,On Production,16b5c334-7ac5-4cbf-b61f-a824065cb571,"Revise your work. You and your are often used to talk directly to the reader. To make your writing more formal, rewrite your response without using you or your.",1,No,Yes,Bold the second-person reference,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Second-Person to Maintain an Academic Tone,,Note that this may lead student to writing an imperative with an implied subject instead.,Academic Writing,Using Academic Tone,Avoiding Second-Person to Maintain an Academic Tone,"Rewrite your sentence without using the bolded word(s). In formal writing, you should usually avoid using the first person. The first person is indicated by words such as ""I,"" ""my,"" ""our,"" ""we,"" and ""us.""",,10,No,
16,"Using ""Please""",Opinion API,Opinion/Tone Keyword Check,Rule,"Checks if a response uses the word ""please""",On Production,1cb76abe-cd2d-4c87-86aa-b3bc7907c77a,"Please is often used when you're asking your reader to do something. In formal writing, you should avoid speaking to your reader directly. Rewrite your response without using the word please to make your writing more formal.",1,No,Yes,Bold please,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Please to Maintain an Academic Tone,,,Academic Writing,Using Academic Tone,Avoiding Please to Maintain an Academic Tone,"Try to rewrite your response without using the word ""perhaps."" ""Perhaps"" is often used when giving a suggestion or expressing that you're not sure about something.",,11,No,
17,"Using ""Maybe""",Opinion API,Opinion/Tone Keyword Check,Rule,"Checks if a response uses the word ""maybe""",On Production,6e8c268a-9aac-4f0a-a373-4987bf861e9c,Maybe is often used when giving a suggestion or expressing that you're not sure about something. Rewrite your response without using the word maybe to make your writing more formal and confident.,1,No,Yes,Bold maybe,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Maybe to Maintain an Academic Tone,,,Academic Writing,Using Academic Tone,Avoiding Maybe to Maintain an Academic Tone,"Rewrite your sentence without using the bolded word(s). In formal writing, you should usually avoid using the second person. The first person is indicated by words such as you, your, and yourself.",,12,No,
18,"Using ""Perhaps""",Opinion API,Opinion/Tone Keyword Check,Rule,"Checks if a response uses the word ""perhaps""",On Production,2ca42c1d-9d0e-4d2b-a762-2eb10261f90b,Perhaps is often used when giving a suggestion or expressing that you're not sure about something. Rewrite your response without using the word perhaps to make your writing more formal and confident.,1,No,Yes,Bold perhaps,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Perhaps to Maintain an Academic Tone,,,Academic Writing,Using Academic Tone,Avoiding Perhaps to Maintain an Academic Tone,"Rewrite your response without using the word ""maybe."" ""Maybe"" is often used when giving a suggestion or expressing that you're not sure about something.",,13,No,
19,Plagiarism with Relevant Evidence API,Plagiarism API,Plagiarism Check on Selected Sentences,API,API,Live Algorithm,844884ac-6e38-4601-b0d2-0e0d6abec6eb,,1,No,Yes,Bold plagiarized text in the response / highlight in text,No,No,Custom for Prompt,Proposed,No,,,,,,,"Revise your work. Although your response should be based on the text, it should be written in your own words.",4,,,
20,"Plagiarism with Relevant Evidence ",Plagiarism API,Plagiarism Check on Selected Sentences,Rule,Checks if a response includes six or more words from specific parts of the text. The specific parts of the text are different for each prompt/passage combination.,Live Algorithm,0a6c6ae6-77bd-42f3-9655-8b5c9d830f7a,You have the right idea! Now rewrite the idea using your own words. Think about other ways you could say the same thing.,1,No,Yes,Bold plagiarized text in the response / highlight in text,Proposed,Yes,Custom for Prompt,Proposed,No,Academic Writing | Using Evidence Appropriately  | Paraphrasing to Avoid Direct Plagiarism,,,Academic Writing,Using Evidence Appropriately,Paraphrasing to Avoid Direct Plagiarism,"Revise your work. Although your response should be based on the text, it should be written in your own words.",4,,,
,Possessive pronouns,Grammar API,Grammar Rule,Rule,"Identifies incorrect use of possessive pronouns. Identifies if an apostrophe is incorrectly used in a possessive pronoun (e.g., our's), or a subject or object pronoun is used instead of a possessive pronoun (e.g. you instead of your). ","Off, Test: changes in progress, Turn off",,Different for each regex rule,1,No,No,Bold error word,Yes,No,Universal: all prompts/passages,Proposed,Yes,Nouns & Pronouns | Possessive Pronouns | Possessive Pronouns,,"Checking spelling in the background should help, but this rule is sometimes triggered by misspellings (the spelled like he)",Nouns & Pronouns,Possessive Pronouns,Possessive Pronouns,Different for each regex rule,,,,
21,Topic API,Topic Module,,API,API,Live Algorithm,82eb3048-ddbf-4c36-990d-5965e7006e36,,2,Yes,No,,,Yes,Custom for Prompt,No,Yes,Individual concepts for each topic label or type of topic label,,,,,,,5,,,
21,Using precise evidence with because,Topic Module,AutoML model,Rule,"A trained, passage-specific NLP model labels the response and serves students a particular piece of feedback based on the identified topic",Live Algorithm,5f905c7d-8494-4317-a655-b119efa265d6,Individual feedback based on topic label,2,Yes,No,No,Yes,Yes,Custom for Prompt,No,Yes,Academic Writing | Using Evidence Appropriately  | Using Precise Evidence to Illustrate a Cause,,,Academic Writing,Using Evidence Appropriately,Using Precise Evidence to Illustrate a Cause,Revise your work. Your response should be only one sentence long.,,,,
22,Using precise evidence with but,Topic Module,AutoML model,Rule,"A trained, passage-specific NLP model labels the response and serves students a particular piece of feedback based on the identified topic",Live Algorithm,8baeda21-6476-446c-8ee2-9b2c2cc699f4,Individual feedback based on topic label,2,Yes,No,No,Yes,Yes,Custom for Prompt,No,Yes,Academic Writing | Using Evidence Appropriately  | Using Precise Evidence to Illustrate a Contrast,,,Academic Writing,Using Evidence Appropriately,Using Precise Evidence to Illustrate a Contrast,Revise your work so it is shorter and more concise.,,,,
23,Using precise evidence with so,Topic Module,AutoML model,Rule,"A trained, passage-specific NLP model labels the response and serves students a particular piece of feedback based on the identified topic",Live Algorithm,667c532c-b842-482e-967f-961244714297,Individual feedback based on topic label,2,Yes,No,No,Yes,Yes,Custom for Prompt,No,Yes,Academic Writing | Using Evidence Appropriately  | Using Precise Evidence to Illustrate a Consequence,,,Academic Writing,Using Evidence Appropriately,Using Precise Evidence to Illustrate a Consequence,"Whoops, it looks like you submitted your response before it was ready! Re-read what you wrote and finish the sentence provided.",,,,
24,Post-Topic Regex (Regex 1),Regex Module,,Rule,"Passage-specific rules that identify incorrect sequences in the responses. These rules may apply across all three conjunctions in a prompt, or they may apply to a single conjunction for a passage.",Live Algorithm,67e8dff7-93f6-4cf4-a601-9a8adad242a5,Individual feedback based on regex rule,1,Yes,No,No,Yes,No,Custom for Prompt,No,Yes,Individual concepts for each regex rule,,,,,,Check your work. Use a or an before singular words only.,6,,,
25,Grammar API,Grammar API,,API,API,On Production,a55848fb-1138-4f58-8b04-36657d32b96a,,1,No,Yes,,,No,Universal: all prompts/passages,No,,,,,,,,,7,,,
25,Allcaps,Grammar API,Grammar Rule,Rule,Identifies when an entire response is written in capital letters.,On Production,a9e29976-3d99-4db2-a209-e215e2c3e34a,"Rewrite your sentence. Instead of using all capital letters, only capitalize the first letter of proper names.",1,No,Yes,No,Yes,No,Universal: all prompts/passages,No,Yes,Capitalization | Capitalization | Using Sentence Case,,"Rewrite your sentence. Instead of using all capital letters, only capitalize the first letter of proper names.",Capitalization,Capitalization,Using Sentence Case,"Try again. There may be a spelling mistake.
",,,,
26,Repeated word,Grammar API,Grammar Rule,Rule,Identifies when a response has a duplicated word. This should ignore when the conjunction is duplicated. Does not recognize repeated phrases.,On Production,98e19806-c3a2-4ea7-926d-50a0dead43d8,Now remove one of the repeated words.,1,No,Yes,Bold both occurences of the repeated word,Yes,No,Universal: all prompts/passages,No,Yes,Structure | Sentence Quality | Avoiding Repeated Words,,,Structure,Sentence Quality,Avoiding Repeated Words,Good work. Now check for a missing period.,,,,
27,Repeated conjunction,Grammar API,Grammar Rule,Rule,Identifies if the conjunction is duplicated.,On Production,f68c5847-9bc9-4f9f-80bf-07ddae7cbc38,"Remove the bolded word. Since it's already in the provided part of the sentence, you don't need to write it again.",1,No,Yes,"Bold the duplicated conjunction (and the conjunction in the stem, if possible)",No,No,Universal: all prompts/passages,No,Yes,Activity Guidelines | Comprehension Activity Guidelines | Using a Single Joining Word,Not developed yet. Front-end only for now. Convert to back-end in the future.,,Activity Guidelines,Comprehension Activity Guidelines,Using a Single Joining Word,"Make sure the verb matches with the noun. If the noun is singular, make the verb singular. If the noun is plural, make the verb plural. Here, x is a singular word, so the verb should be singular too.",,,,
28,Subject pronouns,Grammar API,Grammar ML Model,Rule,"Identifies incorrect subject pronouns (e.g. object pronouns, such as ""me"", possessive determiners such as ""my"" or possessive pronouns such as ""mine"").",On Production,2c5ae37f-b140-4a1c-a54f-443782787e03,"Update the bolded word. Use he, she, or they instead.
",1,No,Yes,Bold error word,Yes,No,Universal: all prompts/passages,No,Yes,Nouns & Pronouns | Subject Pronouns | Subject Pronouns,,"This has to be really vague/not very instructive because it's too difficult to explain what a subject looks like without knowing the specific context (as in, it can be the person or thing doing the action, being described, having an action done to them in a passive sentence, etc.)",Nouns & Pronouns,Subject Pronouns,Subject Pronouns,Different for each topic label,,,,
29,Singular versus plural nouns,Grammar API,Grammar Rule,Rule,"Identifies sentences where a singular determiner (a, an) has as its head a plural noun.",On Production,41ddcd4c-fe53-491c-8d94-a13da0ef28de,"Check your work. Only use a or an before a singular word. Update the bolded words by removing a or an or by making the word singular instead.
",1,No,Yes,"Not only the article, but also the noun
",Yes,No,Universal: all prompts/passages,No,Yes,Articles | Articles | Articles,,"Note: Depending on the context, the student may need to remove the determiner or make the noun singular.",Articles,Articles,Articles,"Revise your work. Use she, he, we, or they when the person or thing is doing the action.",,,,
30,Plural versus possessive nouns - Possessive Noun Optimal,Grammar API,,Rule,Identifies when a plural is used instead of a possessive,On Production,a3ecaca2-82c1-463e-9d31-8a73b69498d1,Update the bolded word. Add an apostrophe so it shows ownership.,1,No,Yes,Incorrect plural noun,Yes,No,Universal: all prompts/passages,No,Yes,Nouns & Pronouns | Possessive Nouns | Plural vs. Possessive Nouns,Should Plural vs. Possessive Nouns rules should come after subject verb agreement?,,Nouns & Pronouns,Plural vs. Possessive Nouns,Possessive Nouns,"Make sure the verb matches with the pronoun. he, she, and it take singular verbs. I, we, they take plural verbs. ",,,,
31,Plural versus possessive nouns - Plural Noun Optimal,Grammar API,,Rule,Identifies when a possessive is used instead of a plural,On Production,a75f910d-fad0-4552-8985-1f989b92770e,"Update the bolded word. Only use an apostrophe to show ownership. When a word is plural, you don't need an apostrophe.",1,No,Yes,Incorrect possessive noun,Yes,No,Universal: all prompts/passages,No,Yes,Nouns & Pronouns | Possessive Nouns | Plural vs. Possessive Nouns,Should Plural vs. Possessive Nouns rules should come after subject verb agreement?,,Nouns & Pronouns,Plural vs. Possessive Nouns,Plural Nouns,"Words like team, family, and government are singular when they're acting as a group, so use a singular verb with them. If each member of the group is acting individually, use a plural verb. ",,,,
32,Subject verb agreement with simple noun,Grammar API,Grammar ML Model,Rule,Uses the incorrect verb with a simple noun subject,On Production,3f43f0b8-3859-40b3-b642-c00662c966c1,Remember that an action word always has to match with the person or thing doing the action. Look at the bolded words and make sure they're both singular or both plural.,1,No,Yes,Subject in addition to the verb,Yes,No,Universal: all prompts/passages,No,Yes,Verbs | Subject Verb Agreement | Subject Verb Agreement,,,Verbs,Subject Verb Agreement,Subject Verb Agreement,N/A,,,,Some errors occur because Impossible Foods is still recognized as a plural noun
33,Subject verb agreement with personal pronoun,Grammar API,Grammar ML Model,Rule,Uses the incorrect verb with a personal pronoun subject,On Production,dad4d9a7-2bfc-48d7-b87d-5c747a7d9493,"Now check the bolded action word. Remember, he, she, and it need to be paired with a singular action word. They needs a plural action word.",1,No,Yes,Subject in addition to the verb,Yes,No,Universal: all prompts/passages,No,Yes,Verbs | Subject Verb Agreement | Subject Verb Agreement,,,Verbs,Subject Verb Agreement,Subject Verb Agreement,Different for each topic label,,,,
34,Subject verb agreement with inversion,Grammar API,Grammar ML Model,Rule,Uses the incorrect verb when the subject comes after the verb,On Production,7527808d-c73f-4f8a-9b0c-7364f6b13132,Remember that an action word always has to match with the person or thing doing the action. Look at the bolded words and make sure they're both singular or both plural.,1,No,Yes,Subject in addition to the verb,Yes,No,Universal: all prompts/passages,No,Yes,Verbs | Subject Verb Agreement | Subject Verb Agreement,,,,Subject Verb Agreement,Subject Verb Agreement,N/A,,,,
35,Subject verb agreement with collective noun,Grammar API,Grammar ML Model,Rule,Uses the incorrect verb with a collective noun subject,On Production,7f4433a3-4a39-431d-a9a1-808d05a10bce,"Update your action word. Words like team or government are singular when they act as a unit or group, which means they also need to be paired with a singular action word. When each person in the group is acting individually, the words are plural instead.
Look at both bolded words and decide whether the action word should be singular or plural.",1,No,Yes,Subject in addition to the verb,Yes,No,Universal: all prompts/passages,No,Yes,Verbs | Subject Verb Agreement | Subject Verb Agreement,,,Verbs,Subject Verb Agreement,Subject Verb Agreement,Different for each topic label,,,,Some errors occur because Impossible Foods is still recognized as a plural noun
36,Subject verb agreement with indefinite pronoun,Grammar API,Grammar ML Model,Rule,Uses the incorrect verb with an indefinite pronoun subject,On Production,dbe36e70-a523-4442-894b-82f88d1e34ad,"Remember that words like everyone and each are singular, while words like both and several are plural. Look at both bolded words and make the action word singular or plural so the two words match.",1,No,Yes,Subject in addition to the verb,Yes,No,Universal: all prompts/passages,No,Yes,Verbs | Subject Verb Agreement | Subject Verb Agreement,,,,Subject Verb Agreement,Subject Verb Agreement,Different for each regex rule,,,,
37,Subject verb agreement with separate subject and verb,Grammar API,Grammar ML Model,Rule,Uses the incorrect verb when the subject and verb are separated,On Production,18323314-7f11-4f0a-be5c-3d34df19252f,"Remember that an action word always has to match with the person or thing doing the action, even when they're separated by other words. Look at the bolded words and make sure they're both singular or both plural.",1,No,Yes,Subject in addition to the verb,Yes,No,Universal: all prompts/passages,No,Yes,Verbs | Subject Verb Agreement | Subject Verb Agreement,,,,Subject Verb Agreement,Subject Verb Agreement,N/A,,,,"During 1/6/21 analysis, 3/9 incorrect due to spelling/fragment issues."
38,Contractions,Grammar API,Grammar Rule,Rule,"Identifies when a student has written a contraction without an apostrophe (e.g., wasnt). Does not reocgnize when a student misuses the apostrophe.",On Production,112cc9e1-75db-47ab-9be1-7b9084838575,Now add an apostrophe to the bolded word to show that a letter was left out.,1,No,Yes,"Not only final token, but full verb",Yes,No,Universal: all prompts/passages,No,Yes,Contractions | Contractions | Contractions,,We may want to use keywords later if data shows students are frequently putting the apostrophe in the wrong place after getting this feedback.,Contractions,Contractions,Contractions,Check your capitalization.,,,,
39,Punctuation,Grammar API,Grammar Rule,Rule,Checks if a sentence ends in a valid punctuation mark (period or question mark).,On Production,c37fd0d2-4342-41e1-a628-b9381effdefa,Good work! Now add a period to the end of your sentence.,1,No,Yes,No,Yes,No,Universal: all prompts/passages,No,Yes,Punctuation | End Punctuation | Ending Periods,,,Punctuation,End Punctuation,Ending Periods,Check your work. Use an apostrophe when you join two words together to make a contraction (like didn't).,,,,
40,Spacing,Grammar API,Grammar Rule,Rule,Identifies punctuation that is not followed by a space or that is incorrectly preceded by a space.,On Production,c745ca1f-b94f-41ea-912a-2012cc654054,Check your spacing. You may need to add or remove spaces around your punctuation.,1,No,Yes,No,Yes,No,Universal: all prompts/passages,No,Yes,Punctuation | Spaces with Punctuation | Spaces with Punctuation,,What punctuation is included in this? No to dashes. Yes to open brackets.,Punctuation,Spaces with Punctuation,Spaces with Punctuation,N/A,,,,
41,Articles - A Optimal,Grammar API,Grammar Rule,Rule,"Identifies when a response uses ""an"" instead of ""a"" before a consonant",On Production,4c2962f1-03c4-449c-b821-8213688a9aa1,"Check your work. Only use an before words that start with a, e, i, o, or u. Use a before all other words.",1,No,Yes,"Bold ""an"" and the next word or noun phrase",Yes,No,Universal: all prompts/passages,No,Yes,Articles | Indefinite Articles | A vs An,,,Articles,Indefinite Articles,A vs An,"Make sure the subject and verb match. In this sentence, the subject comes after the verb. What [x-verb] [yz-description]?",,,,
42,Articles - An Optimal,Grammar API,Grammar Rule,Rule,"Identifies when a response uses ""a"" instead of ""an"" before a vowel",On Production,04b69d41-f235-4a98-9fcd-1e8677961a2e,"Check your work. Use an before words that start with a vowel like a, e, i, o, or u.",1,No,Yes,"Bold ""a"" and the next word or noun phrase",Yes,No,Universal: all prompts/passages,No,Yes,Articles | Indefinite Articles | A vs An,,,Articles,Indefinite Articles,A vs An,"Revise your work. Use an before words that start with a, e, i, or o. Use a before all other words.",,,,
43,"Its versus it's - Its Optimal ",Grammar API,SpaCy Parts of Speech Rule,Rule,"Identifies when ""it's"" is used instead of ""its""",On Production,f8d7863a-e52f-4d05-9b81-994c16004315,"Update the bolded word. When its shows ownership, you don't need an apostrophe.",1,No,Yes,Bold error word,Yes,No,Universal: all prompts/passages,No,Yes,"Commonly Confused Words | It's, Its | Its",,,Commonly Confused Words,"It's, Its",Its,Good work! Now check your spacing.,,,,1/6/21: Yves is splitting its vs. it's into its optimal and it's optimal.
44,Its versus It's - It's Optimal,Grammar API,SpaCy Parts of Speech Rule,Rule,"Identifies when ""its"" is used instead of ""it's""",On Production,8d8fe106-e0a5-440a-8bd4-4e34d8d0a16e,Now add a missing apostrophe to the bolded word. Use an apostrophe in it's when you mean it is.,1,No,Yes,Bold error word,Yes,No,Universal: all prompts/passages,No,Yes,"Commonly Confused Words | It's, Its | It's",,,Commonly Confused Words,"It's, Its",It's,N/A,,,,1/6/21: Yves is splitting its vs. it's into its optimal and it's optimal.
45,Their vs. there vs. they're - They're Optimal,Grammar API,Grammar ML Model,Rule,Identifies when a student uses there or their instead of they're,On Production,e4cf078b-a838-445e-a873-c795da9f7ed8,Update the bolded word. There is used for locations. They're is the same as they are. Their is used to show ownership.,,No,Yes,Bold incorrect version of their,Yes - Yves is confirming,No,,No,Yes,"Commonly Confused Words | There, They're, Their | They're",,,Commonly Confused Words,"There, They're, Their ",They're,,,,,
