Blank,District Name,State Name [District] Latest available year,State,NCES ID,Total Schools,Lowest Grade Offered,Highest Grade Offered,Total Students,Phone,Zip,City
,ABSAROKEE H S,Montana,MT,3001740,1,9th Grade,12th Grade,74,4063284583,59001,Absarokee
,ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ,3400660,2,Prekindergarten,8th Grade,893,6096415375,8201,Absecon
,ACADEMIA ANTONIA ALONSO,Delaware,DE,1000053,1,Kindergarten,5th Grade,612,3023518200,19805,Wilmington
,ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CA,602291,1,6th Grade,12th Grade,293,3232307270,90042,Highland Park
,ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,MN,2700185,1,Prekindergarten,8th Grade,545,6517782940,55119,SAINT PAUL
,ACADEMIA MODERNA DISTRICT,CALIFORNIA,CA,602361,1,Kindergarten,5th Grade,446,3239230383,90255,Walnut Park
,ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MI,2600330,1,9th Grade,12th Grade,81,9896315202,48640,MIDLAND
,ACADEMIC ARTS HIGH SCHOOL,Minnesota,MN,2700361,1,9th Grade,12th Grade,89,6514577427,55118,WEST SAINT PAUL
,ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,NY,3601001,1,Kindergarten,8th Grade,640,7185854215,10454,BRONX
,ACADEMICS PLUS CHARTER SCHOOL,Arkansas,AR,500059,3,Kindergarten,12th Grade,1645,5018513333,72113,MAUMELLE
,ACADEMIE LAFAYETTE,Missouri,MO,2900017,3,Prekindergarten,9th Grade,1201,8168008771,64111,Kansas City
,ACADEMY CHARTER HIGH SCHOOL,New Jersey,NJ,3400048,1,9th Grade,12th Grade,162,7326818377,7719,Lake Como
,ACADEMY CHARTER SCHOOL,New York,NY,3600997,1,Kindergarten,12th Grade,1782,5164082200,11550,HEMPSTEAD
,ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,NY,3601169,1,Kindergarten,9th Grade,463,5164082200,11553,UNIONDALE
,ACADEMY DEL SOL INC. (90199),Arizona,AZ,400797,2,Kindergarten,8th Grade,704,5203252800,85711,TUCSON
,ACADEMY FOR ACADEMIC EXCELLENCE,Texas,TX,4800093,4,5th Grade,12th Grade,308,2146376136,75212,DALLAS
,ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CA,601911,1,Kindergarten,12th Grade,1466,7609465414,92307,Apple Valley
,ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,MI,2600166,2,Kindergarten,12th Grade,539,3133823422,48122,MELVINDALE
,ACADEMY FOR INTEGRATED ARTS,Missouri,MO,2900604,1,Prekindergarten,6th Grade,255,8164441720,64131,KANSAS CITY
,ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,UT,4900017,1,9th Grade,12th Grade,464,8012789460,84121,SALT LAKE CITY
,ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,NH,3300040,2,6th Grade,12th Grade,541,6035954705,3063,Nashua
,ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NJ,3400741,1,7th Grade,12th Grade,486,8482033742,8861,Perth Amboy
,ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OH,3901472,1,9th Grade,12th Grade,218,3307449070,44507,Youngstown
,ACADEMY ISD,Texas,TX,4807470,5,Prekindergarten,12th Grade,1726,2549824304,76554,LITTLE RIVER
,ACADEMY OF ACCELERATED LEARNING INC,Texas,TX,4800032,1,Prekindergarten,7th Grade,851,7137734766,77096,HOUSTON
,ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,AZ,400414,1,9th Grade,12th Grade,93,9287882601,86426,FORT MOHAVE
,ACADEMY OF DALLAS,Texas,TX,4800090,1,Prekindergarten,8th Grade,341,2143719600,48237,DALLAS
,ACADEMY OF DOVER CHARTER SCHOOL,Delaware,DE,1000017,1,Kindergarten,6th Grade,329,3026740684,19904,Dover
,ACADEMY OF EDUCATIONAL EXCELLENCE,Ohio,OH,3901502,1,Kindergarten,6th Grade,85,4193405666,43607,Toledo
,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NEW YORK,NY,3601190,1,5th Grade,6th Grade,206,5852541003,14613,ROCHESTER
,ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,DC,1100094,0,Adult Education,Adult Education,0,2022696623,20018,WASHINGTON
,ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,AZ,400368,1,Kindergarten,12th Grade,634,5202932676,85705,TUCSON
,ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,AZ,400940,1,Kindergarten,8th Grade,1158,5202932676,85719,PHOENIX
,ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,AZ,400891,6,Kindergarten,8th Grade,6008,5202932676,85705,TUCSON
,ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,CA,602503,1,9th Grade,10th Grade,63,3239035927,90212,Los Angeles
,ACADEMY OF SEMINOLE CHARTER,OKLAHOMA,OK,4000803,2,Prekindergarten,12th Grade,295,4053809010,74818,Seminole
,ACADEMY OF THE CITY CHARTER SCHOOL,New York,NY,3601053,1,Kindergarten,7th Grade,631,7184879857,11377,WOODSIDE
,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,MA,2500021,1,5th Grade,12th Grade,540,6173610050,2136,Hyde Park
,ACADEMY OF TUCSON INC. (78897),Arizona,AZ,400202,3,Kindergarten,12th Grade,578,5207330096,85748,TUCSON
,ACADEMY OF WARREN,Michigan,MI,2600308,1,Kindergarten,8th Grade,644,5865528010,48089,WARREN
,ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,CO,801920,40,Prekindergarten,12th Grade,25711,7192341200,80920,COLORADO SPRINGS
,ACADEMY WITH COMMUNITY PARTNERS  INC (79213),Arizona,AZ,400276,1,9th Grade,12th Grade,118,4808330068,85203,MESA
,ACADIA ACADEMY,MAINE,ME,2314831,1,Prekindergarten,6th Grade,257,2073333765,4240,Lewiston
,ACADIA PARISH,Louisiana,LA,2200030,27,Prekindergarten,12th Grade,9603,3377833664,70527,Crowley
,ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,LA,2200231,1,Kindergarten,12th Grade,1417,2252830232,70592,Youngsville
,ACALANES UNION HIGH,California,CA,601650,5,9th Grade,12th Grade,5535,9252803900,94549,Lafayette
,ACCELERATED ACHIEVEMENT ACADEMY DISTRICT,CALIFORNIA,CA,601877,1,4th Grade,12th Grade,144,7074637080,95482,Ukiah
,ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA,601471,1,Kindergarten,6th Grade,495,3238466694,90037,Los Angeles
,ACCELERATED DISTRICT,CALIFORNIA,CA,601732,1,Kindergarten,8th Grade,752,3232356343,90037,Los Angeles
,ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,AZ,400129,1,Kindergarten,12th Grade,233,5207432256,85745,TUCSON
,ACCELERATED INTERMEDIATE ACADEMY,Texas,TX,4800192,2,Prekindergarten,7th Grade,235,7137289330,77225,HOUSTON
,ACCELERATED LEARNING CENTER INC. (4297),Arizona,AZ,400121,1,9th Grade,12th Grade,168,6024850309,85028,PHOENIX
,ACCELERATION DAY AND EVENING ACADEMY,ALABAMA,AL,100197,1,Kindergarten,12th Grade,331,2513010050,36606,Mobile
,ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,MA,2500578,0,–,–,†,5086536776,1760,Natick
,ACCLAIM CHARTER SCHOOL (4325),Arizona,AZ,400122,1,Kindergarten,8th Grade,291,6236910919,85033,PHOENIX
,ACCOMACK CO PBLC SCHS,Virginia,VA,5100060,13,Prekindergarten,12th Grade,4863,7577875754,23301,Accomac
,ACE ACADEMY (SDA),Michigan,MI,2600943,1,4th Grade,12th Grade,136,2485828100,48203,HIGHLAND PARK
,ACE CHARTER HIGH DISTRICT,CALIFORNIA,CA,601561,1,9th Grade,12th Grade,430,4082511362,95133,San Jose
,ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,CA,602217,1,5th Grade,8th Grade,223,4087293920,95116,San Jose
,ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,CA,601852,1,5th Grade,8th Grade,244,4087293420,95112,San Jose
,ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,CA,602138,1,5th Grade,8th Grade,239,4082956008,95126,San Jose
,ACE PREPARATORY ACADEMY,INDIANA,IN,1800172,1,Kindergarten,5th Grade,161,3177449847,46220,Indianapolis
,ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,NM,3500185,1,6th Grade,6th Grade,45,5055061186,87107,ALBUQUERQUE
,ACHIEVE ACADEMY DISTRICT,CALIFORNIA,CA,602165,1,Kindergarten,5th Grade,607,5109046440,94621,Oakland
,ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OH,3901362,1,9th Grade,12th Grade,105,4192438559,43612,Toledo
,ACHIEVE CHARTER ACADEMY,Michigan,MI,2600963,1,Kindergarten,8th Grade,792,7343970960,48188,CANTON
,ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,CA,601615,0,–,–,†,5308724100,95926,Chico
,ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,CA,602133,1,Kindergarten,8th Grade,216,5307622599,95928,Chico
,ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,NJ,3400792,1,Kindergarten,7th Grade,184,9735567070,7108,Newark
,ACHIEVE LANGUAGE ACADEMY,Minnesota,MN,2700118,1,Prekindergarten,8th Grade,450,6517384875,55119,SAINT PAUL
,ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,NC,3700459,1,Kindergarten,5th Grade,166,9195525446,27526,Fuquay-Varina
,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,NY,3601028,1,Kindergarten,8th Grade,919,3474712620,11208,BROOKLYN
,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,NY,3601109,1,Kindergarten,8th Grade,865,3478380205,11208,BROOKLYN
,ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,CT,900208,1,Kindergarten,12th Grade,1127,2033339128,6513,New Haven
,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,NY,3600969,1,Kindergarten,12th Grade,1207,3474712600,11233,BROOKLYN
,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,NY,3600147,1,Kindergarten,12th Grade,1299,3474712580,11203,BROOKLYN
,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,NY,3600149,1,Kindergarten,12th Grade,1215,7184854924,11207,BROOKLYN
,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,NY,3600170,1,Kindergarten,8th Grade,857,7186225994,11238,BROOKLYN
,ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,CT,900212,1,Kindergarten,12th Grade,1163,8606955280,6513,New Haven
,ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,NY,3601112,1,Kindergarten,7th Grade,737,3474712700,11207,BROOKLYN
,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,NY,3601124,1,Kindergarten,7th Grade,778,3474712690,11221,BROOKLYN
,ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,RI,4400021,5,Kindergarten,8th Grade,1772,4013180221,2909,Providence
,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,NY,3601143,1,1st Grade,8th Grade,219,3474712640,11226,BROOKLYN
,ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,NY,3600166,1,Kindergarten,8th Grade,943,3474712560,11237,BROOKLYN
,ACHIEVEMENT HOUSE CS,Pennsylvania,PA,4200128,1,7th Grade,12th Grade,928,4846156200,19341,Exton
,ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,DC,1100072,1,Prekindergarten,3rd Grade,263,2025621214,20032,WASHINGTON
,ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TN,4700147,27,Prekindergarten,12th Grade,9027,6152534176,37243,Nashville
,ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,OH,3901602,1,9th Grade,12th Grade,169,5133343607,45238,Cincinnati
,ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,NJ,3400794,1,6th Grade,8th Grade,264,6094290279,8611,Trenton
,ACHILLE,Oklahoma,OK,4002370,2,Prekindergarten,12th Grade,311,5802833775,74720,Achille
,ACKERMAN CHARTER,California,CA,601680,1,Kindergarten,8th Grade,571,5308851974,95603,Auburn
,ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,AZ,400320,2,Kindergarten,8th Grade,492,9287725778,86314,Prescott Valley
,ACT ACADEMY CYBER CS,Pennsylvania,PA,4200868,0,–,–,†,2672971668,19119,Philadelphia
,ACTON PUBLIC SCHOOLS,Maine,ME,2302220,1,Prekindergarten,12th Grade,217,2076362100,4001,Acton
,ACTON-AGUA DULCE UNIFIED,California,CA,600001,3,Kindergarten,12th Grade,919,6612690750,93510,Acton
,ACTON-BOXBOROUGH,Massachusetts,MA,2501710,9,Prekindergarten,12th Grade,5207,9782644700,1720,Acton
,ACUSHNET,Massachusetts,MA,2501740,2,Prekindergarten,8th Grade,910,5089980260,2743,Acushnet
,AD PRIMA CS,Pennsylvania,PA,4200129,1,Kindergarten,8th Grade,651,2158830638,19151,Philadelphia
,ADA,Oklahoma,OK,4002430,6,Prekindergarten,12th Grade,2423,5803107200,74821,Ada
,ADA EXEMPTED VILLAGE,Ohio,OH,3904518,2,Kindergarten,12th Grade,839,4196346421,45810,Ada
,ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,MN,2700126,3,Prekindergarten,12th Grade,619,2187845300,56510,ADA
,ADAIR,Oklahoma,OK,4002460,3,Prekindergarten,12th Grade,988,9187852425,74330,Adair
,ADAIR CO. R-I,Missouri,MO,2922980,2,Prekindergarten,12th Grade,206,6604886411,63559,NOVINGER
,ADAIR CO. R-II,Missouri,MO,2905790,2,Kindergarten,12th Grade,143,6603235272,63533,BRASHEAR
,ADAIR COUNTY,Kentucky,KY,2100030,5,Prekindergarten,12th Grade,2594,2703842476,42728,Columbia
,ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,IA,1903090,2,Prekindergarten,12th Grade,260,6417462241,50002,Adair
,ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,IL,1700162,6,Prekindergarten,12th Grade,–,2172772080,62301,Quincy
,ADAMS 1 MAPLETON AU,Colorado,CO,800258,0,–,–,†,3038531128,80229,Denver
,ADAMS 12 FIVE STAR SCHOOLS,Colorado,CO,806900,53,Prekindergarten,12th Grade,36654,7209724000,80241,THORNTON
,ADAMS 12 NORTHGLENN AU,Colorado,CO,800268,0,–,–,†,7209724778,80241,Thornton
,ADAMS 14 COMMERCE CITY AU,Colorado,CO,800272,0,–,–,†,3038533246,80022,Commerce City
,ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,CO,800237,0,–,–,†,3036552925,80601,BRIGHTON
,ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,IN,1800060,3,Prekindergarten,12th Grade,1343,2606926193,46772,Monroe
,ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,NE,3102770,3,Prekindergarten,12th Grade,965,4024633285,68901,HASTINGS
,ADAMS COUNTY BOCES,Colorado,CO,800009,0,–,–,†,3032867294,80234,WESTMINSTER
,ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,OH,3906190,7,Prekindergarten,12th Grade,3585,9375445586,45693,West Union
,ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,PA,4200905,1,11th Grade,12th Grade,6,7173346254,17325,Gettysburg
,ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,MI,2601890,2,Kindergarten,12th Grade,453,9064820599,49955,PAINESDALE
,ADAMS-ARAP 28J AURORA AU,Colorado,CO,800255,0,–,–,†,3033400510,80011,Aurora
,ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,WI,5500060,3,Prekindergarten,12th Grade,1309,6083393213,53934,Friendship
,ADDISON CENTRAL SCHOOL DISTRICT,New York,NY,3602370,3,Prekindergarten,12th Grade,1047,6073592244,14801,ADDISON
,ADDISON CENTRAL SUPERVISORY UNION,Vermont,VT,5099903,0,†,†,†,8023821274,5753,Middlebury
,ADDISON CENTRAL UNIFIED SCHOOL DISTRICT,VERMONT,VT,5000402,9,Prekindergarten,12th Grade,1742,8023821274,5753,Middlebury
,ADDISON COMMUNITY SCHOOLS,Michigan,MI,2601920,3,Kindergarten,12th Grade,763,5175476123,49220,ADDISON
,ADDISON NORTHWEST SUPERVISORY UNION,Vermont,VT,5099902,0,†,†,†,8028773332,5491,Vergennes
,ADDISON NORTHWEST UNIFIED SCHOOL DISTRICT,VERMONT,VT,5000398,3,Prekindergarten,12th Grade,914,8028773332,5491,Vergennes
,ADDISON SD 4,Illinois,IL,1703150,9,Prekindergarten,8th Grade,3666,6304582425,60101,Addison
,ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,IA,1903150,4,Prekindergarten,12th Grade,2110,5159934283,50003,Adel
,ADEL SD 21,Oregon,OR,4100990,1,Prekindergarten,10th Grade,25,5419475418,97630,Lakeview
,ADELANTE CHARTER DISTRICT,CALIFORNIA,CA,602343,1,Kindergarten,6th Grade,302,8059667392,93103,Santa Barbara
,ADELANTE SCHOOLS,INDIANA,IN,1800216,1,Kindergarten,8th Grade,347,3172264272,46203,Indianapolis
,ADELANTO ELEMENTARY,California,CA,601710,15,Kindergarten,12th Grade,7817,7602468691,92301,Adelanto
,ADELINE MONTESSORI SCHOOL INC AGENCY,WISCONSIN,WI,5500089,0,–,–,†,2622014492,53189,Waukesha
,ADENA LOCAL,Ohio,OH,3904949,3,Prekindergarten,12th Grade,1165,7409984633,45628,Frankfort
,ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,NY,3605040,4,Prekindergarten,12th Grade,1176,3159429200,13309,BOONVILLE
,ADLAI E STEVENSON HSD 125,Illinois,IL,1732580,2,9th Grade,12th Grade,4315,8474154000,60069,Lincolnshire
,ADMIRAL PEARY AVTS,Pennsylvania,PA,4280120,1,9th Grade,12th Grade,16,8144726490,15931,Ebensburg
,ADNA SCHOOL DISTRICT,Washington,WA,5300060,2,Prekindergarten,12th Grade,587,3607480362,98522,ADNA
,ADRIAN ISD,Texas,TX,4807500,1,Prekindergarten,12th Grade,122,8065386203,79001,ADRIAN
,ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,MN,2702730,3,Prekindergarten,12th Grade,572,5074832266,56110,ADRIAN
,ADRIAN PUBLIC SCHOOLS,Michigan,MI,2601950,7,Prekindergarten,12th Grade,2797,5172646640,49221,ADRIAN
,ADRIAN R-III,Missouri,MO,2902850,2,Prekindergarten,12th Grade,701,8162972710,64720,ADRIAN
,ADRIAN SD 61,Oregon,OR,4101020,2,Prekindergarten,12th Grade,254,5413722335,97901,Adrian
,ADVANCE R-IV,Missouri,MO,2902880,3,Prekindergarten,12th Grade,446,5737223581,63730,ADVANCE
,ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,MA,2500085,1,6th Grade,12th Grade,966,5085972400,1752,Marlborough
,ADVANCED TECHNOLOGY ACADEMY,Michigan,MI,2600255,1,Prekindergarten,12th Grade,1260,3136254700,48126,DEARBORN
,ADVANTAGE ACADEMY,Texas,TX,4800041,1,Prekindergarten,12th Grade,1207,2142765800,75116,DUNCANVILLE
,ADVANTAGE ARTS ACADEMY,UTAH,UT,4900198,1,Kindergarten,6th Grade,326,8018788622,84096,HERRIMAN
,ADVANTAGE CHARTER ACADEMY,LOUISIANA,LA,2200268,1,Kindergarten,8th Grade,527,2257743111,70501,Lafayette
,AEA 13 GREEN HILLS AEA,Iowa,IA,1999013,0,†,†,†,7123660503,51502,Council Bluffs
,AECI II:  NYC CHARTER HS-COMP ENGIN,NEW YORK,NY,3601195,1,9th Grade,10th Grade,211,6467417470,10454,BRONX
,AEROSTEM ACADEMY DISTRICT,CALIFORNIA,CA,601724,1,6th Grade,12th Grade,139,5307422531,95991,Yuba City
,AFFTON 101,Missouri,MO,2902910,4,Kindergarten,12th Grade,2504,3146388770,63123,ST LOUIS
,AFSA HIGH SCHOOL,Minnesota,MN,2700186,2,Kindergarten,12th Grade,438,6512093915,55127,VADNAIS HEIGHTS
,AFTON,Oklahoma,OK,4002520,2,Prekindergarten,12th Grade,458,9182574470,74331,Afton
,AFTON CENTRAL SCHOOL DISTRICT,New York,NY,3602400,2,Prekindergarten,12th Grade,488,6076398229,13730,AFTON
,AGAMIM CLASSICAL ACADEMY,Minnesota,MN,2700394,1,Kindergarten,8th Grade,314,9528562531,55410,EDINA
,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,SD,4600042,4,Prekindergarten,12th Grade,268,6052582618,57564,Onida
,AGATE SCHOOL DISTRICT NO. 300,Colorado,CO,801980,2,Prekindergarten,12th Grade,73,7197642741,80101,AGATE
,AGAWAM,Massachusetts,MA,2501800,8,Prekindergarten,12th Grade,3508,4138210548,1030,Feeding Hills
,AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,MI,2600106,1,Kindergarten,12th Grade,373,2485692988,48075,SOUTHFIELD
,AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,CA,602543,1,Kindergarten,12th Grade,98,7079462347,95553,Weott
,AGORA CYBER CS,Pennsylvania,PA,4200140,1,Kindergarten,12th Grade,7345,6102300775,19406,King of Prussia
,AGRA,Oklahoma,OK,4002550,3,Prekindergarten,12th Grade,321,9183752261,74824,Agra
,AGUA DULCE ISD,Texas,TX,4807530,2,Prekindergarten,12th Grade,406,3619982542,78330,AGUA DULCE
,AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,AZ,400450,5,9th Grade,12th Grade,8403,6239327000,85323,AVONDALE
,AGUILA ELEMENTARY DISTRICT (4249),Arizona,AZ,400480,2,Prekindergarten,8th Grade,137,9286852222,85320,Aguila
,AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,CO,802010,2,Prekindergarten,12th Grade,100,7199414188,81020,AGUILAR
,AGWSR COMM SCHOOL DISTRICT,Iowa,IA,1903060,5,Prekindergarten,12th Grade,699,6418472611,50601,Ackley
,AHSTW COMM SCHOOL DISTRICT,Iowa,IA,1904080,3,Prekindergarten,12th Grade,735,7123436364,51521,Avoca
