Question,Question ID,Skill Group Name,Skill Group ID,Skill Name
I am ___ teacher. a kind / kind a / kind,-LyFH0E3EC-G47b37WH_,Sentences With To Be,167,ELL Starter Pre Q9 - Word Order With Adjectives
He is ___. happy / a happy,-LyFHEF8vgYOMcCTDsi7,Sentences With To Be,167,ELL Starter Pre Q10 - Adjectives without Articles
The boy is ___. a kind student / a student kind / kind a student / kind student,-LyFHr41C5VTamgYSwUl,Sentences With To Be,167,ELL Starter Pre Q12 - Word Order
___ is happy. The dog / Dog,-LyFHXrgcOg2mcGfZ-Ab,Sentences With To Be,167,ELL Starter Pre Q11 - Starting Sentences with Nouns
She ___ a book. want / wants,-LyFI-zYQhY9IeVi-n-i,Sentences With Want,169,ELL Starter Pre Q13 - Conjugating To Want
I ___ a book. have / has,-LyFICBOb1865LsFQokV,Sentences With Have,168,ELL Starter Pre Q15 - Conjugating To Have
We ___ a book. do not want / does not want / do not wants / does not wants / not want / not wants / want not / not want,-LyFISTQLjBRLLELy806,Sentences With Want,169,ELL Starter Pre Q14 - Conjugating To Want
He ____ a book. do not have / does not have / do not has / does not has / not have / not has / has not / have not,-LyFKnkbD6GmYtPUE9Ah,Sentences With Have,168,ELL Starter Pre Q16 - Conjugating To Have
___ a brown dog? Do you want / Does you want / Do you wants / Does you wants / You want / You wants,-LyFQn_9pqSLtU-Hmj-9,Writing Questions,171,ELL Starter Pre Q17 - Yes or No Questions with To Want
___ friends? Are we / We are / Am we / We am / Is we / We is,-LyFQXXAsr-9V4_BSU3l,Writing Questions,171,ELL Starter Pre Q19 - Yes or No Questions with To Be
___ black cats? Do he have / Does he have / Do he has / Does he has / He have / He has / Has he / Have he,-LyFQyhGGd3PBN-DMR-L,Writing Questions,171,ELL Starter Pre Q18 - Yes or No Questions with To Have
Alpha wolves track the prey. The prey is also hunted by alpha wolves. Alpha wolves decide where to build the pack’s den. Producing pups for the pack is also something alpha wolves do.,-LYheTMlgFyHW-UKQQpe,Parallel Structure,141,Advanced Pre Q8 - Parallel Clauses
Alpha wolves track the prey. The prey is also hunted by alpha wolves. Alpha wolves decide where to build the pack's den. Producing pups for the pack is also something alpha wolves do,-LYheTMlgFyHW-UKQQpe,Parallel Structure,164,AP Q15 - Parallel Clauses
Just beyond the Great Barrier Reef _____ a whole new world of sea creatures yet to be studied.,-M2nQ6ISK8NuDAL0oci-,Subject-Verb Agreement,143,PreAP1 Q2 - Subject-Verb Agreement With Inversion
Just beyond the Great Barrier Reef ___ a whole new world of sea creatures yet to be studied.,-M2nQ6ISK8NuDAL0oci-,Verb Tense and Agreement,157,SpringBoard Q13 - Subject-Verb Agreement With Inversion
Each of the male wolves in the wolf pack has the chance to become the leader if _____ the current alpha male.,-M2nQhitkFFuphgKEi1h,Pronoun-Antecedent Agreement,144,PreAP1 Q4 - Pronoun Agreement With Indefinite Pronouns
Each of the male wolves in the wolf pack has the chance to become the leader if ___ the current alpha male.,-M2nQhitkFFuphgKEi1h,Pronoun Case and Agreement,158,SpringBoard Q19 - Pronoun Agreement With Indefinite Pronouns
"After discovering that Jupiter, Saturn, Uranus, and Neptune would soon align, NASA’s research team launched ___ first program to study planets in the outer Solar System.",-M2nZR4KVgOD61Dqtk_U,Pronoun Case and Agreement,158,SpringBoard Q18 - Pronoun Agreement
The players on the field ___ the ball.,010d75a2-83e2-4329-95c0-0243a8a46151,Subject-Verb Agreement,135,Starter Pre Q2 - Basic Subject-Verb Agreement
The players on the field ___ the ball.,010d75a2-83e2-4329-95c0-0243a8a46151,Verb Tense and Agreement,157,SpringBoard Q12 - Subject-Verb Agreement
Do you already take out the trash?,03c4ee7d-7517-4e18-9c2b-912dd5f64978,Irregular Past Tense,179,ELL Advanced Pre Q7 - Past Tense (Do)
Moss provides a habitat for insects. The soil is protected by moss. Releasing oxygen is also a thing that moss does.,05584cf5-33ef-4f87-988b-d09c36085ada,Parallel Structure,141,Advanced Post Q7 - Parallel Clauses
Tiramisu is an Italian dessert with many layers. Trifle has many layers that can be made of cream or jelly. consequently / however / similarly / moreover,06583920-8654-4e56-ab5f-b9708450ac39,Conjunctive Adverbs,132,Intermediate Post Q22 - Conjunctive Adverbs (Similarly)
Alligators and crocodiles are both large reptiles. Crocodiles are typically lighter in color. and / or / but / so,078ff29e-3fc9-41e8-b65e-871963ea0075,Compound Sentences,130,Intermediate Post Q18 - Compound Sentences (But)
I ___ a teacher.,08bbc74a-d936-4d32-81de-387e439e6aa7,Sentences With To Be,167,ELL Starter Post Q1 - Conjugating To Be
The first skateboards were developed in the 1950s. The first skateboard helped surfers practice without waves.,09c24ec7-f15f-451e-9993-28d69838ebb4,Participial Phrases,140,Advanced Post Q3 - Participial Phrases
A huge flock of birds ___ right above us. is / are,0aff5857-33be-4b43-bf2b-b2bfc905e69c,Subject-Verb Agreement,135,Intermediate Pre Q5 - Subject-Verb Agreement
A huge flock of birds ___ right above us.,0aff5857-33be-4b43-bf2b-b2bfc905e69c,Subject-Verb Agreement,143,PreAP1 Q1 - Subject-Verb Agreement With Collective Nouns
I think you liked cats.,0b31c0b9-5fca-42ea-8680-21ae80a373af,Irregular Past Tense,179,ELL Advanced Pre Q5 - Past Tense (Think)
He is ___.,0b8bb651-394c-449f-9d5b-f726c561298a,Sentences With To Be,167,ELL Starter Post Q7 - A & An Before A Noun
"I have ___ computer, and ___ has my computer.",0c239173-cea8-45ad-bc7d-0a24fcacc66f,Possessive Nouns and Pronouns,173,ELL Intermediate Pre Q5 - Possessives
Diana walks to school yesterday.,0e417ec6-ed87-46d6-bb99-627bf5c47d63,Regular Past Tense,178,ELL Advanced Post Q1 - Simple Past With -ed
It is another warm day in July. It is another rainy day in July,0f5f7a4f-62f6-48f6-a459-6b5580fc242f,Adjectives and Adverbs,125,Starter Post Q17 - Coordinate Adjectives
My sister ___ to school tomorrow morning.,1291b2d2-5272-453d-9ae2-5ad12963ac3a,Progressive Tenses,181,ELL Advanced Pre Q13 - Future Progressive
A huge pack of wolves ___ right beside us. is / are,12a908ef-62d8-4983-a033-bebac6e9f25b,Subject-Verb Agreement,135,Intermediate Post Q5 - Subject-Verb Agreement
The rolling thunder terrifies the sailors. The flashes of lightning terrify the sailors.,13e8a7b2-be2b-4828-a739-89ce10e0661a,"Compound Subjects, Objects, and Predicates",145,PreAP1 Q11 - Compound Subjects
The rolling thunder terrifies the sailors. The flashes of lightning terrify the sailors.,13e8a7b2-be2b-4828-a739-89ce10e0661a,"Compound Subjects, Objects, and Predicates",153,SpringBoard Q8 - Compound Subjects
Claudia talks to Gabby yesterday.,146db693-c491-4653-8faf-94349f462c69,Regular Past Tense,178,ELL Advanced Pre Q1 - Simple Past With -ed
Addison cooks dinner right now.,179487bd-43da-40b4-b815-a2f57cb10ea8,Progressive Tenses,180,ELL Advanced Post Q11 - Postsent Progressive
Kevin likes to swim. Alyssa likes to swim.,182ae667-a4f7-4c83-b4f9-b2c260ece786,"Compound Subjects, Objects, and Predicates",129,Intermediate Post Q16 - Compound Subjects
"___ ___ ___ your homework, please?",1a7ac679-7e32-4bf3-96fa-fe7d7d15772e,Writing Questions,177,ELL Intermediate Post Q18 - Can Questions
My brother ___ a test tomorrow morning.,1b62cd4d-878a-49fd-afdc-e2a2ac517015,Progressive Tenses,181,ELL Advanced Post Q13 - Future Progressive
Eli eats a sandwich for lunch yesterday.,1d7b7f13-b91b-44d9-b4c9-4339b3f288db,Irregular Past Tense,179,ELL Advanced Post Q6 - Past Tense (Eat)
He cleans up the ___ toys. childrens / children’s / childrens’,1ef645e1-d805-4447-b127-c11907976b9f,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q7 - Plural Possessive
The scorpion has adapted to survive in a harsh desert climate. The rattlesnake has adapted to survive in a harsh desert climate.,1f76db0e-3b86-4bd2-aeab-fe031a5e15e1,"Compound Subjects, Objects, and Predicates",145,PreAP1 Q12 - Compound Subjects
The scorpion has adapted to survive in a harsh desert climate. The rattlesnake has adapted to survive in a harsh desert climate.,1f76db0e-3b86-4bd2-aeab-fe031a5e15e1,"Compound Subjects, Objects, and Predicates",153,SpringBoard Q9 - Compound Subjects
"in march, i went to florida.",235750e8-10e7-43a9-9b71-ed16c77f0a49,Capitalization,123,Starter Post Q11 - Capitalization (Basic)
She wants a brown cat. She wants a black dog.,26bbbec6-8235-417c-95c2-de69c3310f63,Listing Adjectives and Nouns,170,ELL Starter Post Q21 - Combining Sentences with And
Pho is a soup made with herbs. Pho is a soup made with bone broth. Pho is a soup made with noodles.,285424c5-0d38-46e3-b48e-6d1adc3bbe26,"Compound Subjects, Objects, and Predicates",127,Starter Pre Q21 - Listing Objects
Are you ___ your birthday?,2855b1e0-5064-4804-a8f7-8e498576d556,Phrasal Verbs,181,ELL Advanced Pre Q16 - Phrasal Verbs
___ ___ ___ best friend?,28bd411c-bd67-4306-af7e-950647ccf075,Writing Questions,177,ELL Intermediate Pre Q17 - Question Word Order
Both ___ instruments are backstage. bands / band’s / bands’,28dcfd93-1422-4ba1-b39f-b5bdcb97200d,"Nouns, Pronouns, and Verbs",136,Intermediate Post Q6 - Plural Possessive
They are kind. They are happy. and,28f7b400-c7a6-491d-9d07-a2294bb96be5,Listing Adjectives and Nouns,170,ELL Starter Pre Q20 - Combining Sentences with And
Anthony wants to sing. Matthew wants to sing.,290850dc-0b90-41ff-bd52-99a89d690997,"Compound Subjects, Objects, and Predicates",129,Intermediate Pre Q16 - Compound Subjects
The birds began to chirp. The birds were gathering outside my window. I knew it was time to wake up. when,2c770b7f-22fe-4127-8870-c3aebf65cd4c,Participial Phrases,140,Advanced Post Q11 - Complex Sentences with Participial Phrases
We did not go outside because it rains.,2e95d850-631e-4fd4-97ea-ea72d685c917,Progressive Tenses,181,ELL Advanced Post Q12 - Past Progressive
The sun provides energy for plants. Oceans are warmed by the sun. Impacting weather patterns is also a thing the sun does.,2eb6a78d-8e43-4b21-8109-7a4bb0ee7989,Parallel Structure,141,Advanced Pre Q7 - Parallel Clauses
The sun provides energy for plants. Oceans are warmed by the sun. Impacting weather patterns is also a thing the sun does.,2eb6a78d-8e43-4b21-8109-7a4bb0ee7989,Parallel Structure,164,AP Q16 - Parallel Clauses
The sun provides energy for plants. Oceans are warmed by the sun. Impacting weather patterns is also a thing the sun does.,2eb6a78d-8e43-4b21-8109-7a4bb0ee7989,Parallel Structure,152,PreAP2 Q12 - Parallel Clauses
New York City's subway tunnels were built to withstand weather events. They were damaged by the extreme conditions of Hurricane Sandy. however / therefore / moreover / furthermore,2f7edef1-608f-4b1e-9a83-639845a6dd00,Conjunctive Adverbs,132,Intermediate Post Q21 - Conjunctive Adverbs (However)
Do you ___ ___ ___ ___?,2f8fe1d8-3ec2-452c-8cd3-8cf47a401c88,Phrasal Verbs,181,ELL Advanced Post Q15 - Inseparable Phrasal Verbs
She wants a big dog. She wants a small cat. and,30c92334-0eec-462b-855e-4f41174b329a,Listing Adjectives and Nouns,170,ELL Starter Pre Q21 - Combining Sentences with And
The teacher is reading. The student is reading.,31986bb0-534b-4519-98b8-ff6ac1b334ad,"Compound Subjects, Objects, and Predicates",127,Starter Post Q20 - Compound Subjects
We all go to Montana last summer.,34708cce-95ca-4848-8911-d648c8ffec67,Irregular Past Tense,179,ELL Advanced Pre Q10 - Past Tense (Go)
This present is ___ my mother.,34b3e399-c860-48fc-8348-1f6a0e5e5cd4,Prepositions,174,ELL Intermediate Pre Q10 - For
They are not strong swimmers. Chimpanzees often live close to large bodies of water. even though / since / until,36322c2b-656a-4e45-bce4-96a6d790a3c9,Complex Sentences,131,Intermediate Pre Q19 - Complex Sentences (Even Though)
omar was born in denver on christmas.,36e7e144-9783-4c85-9eb6-847fc52eb1b2,Capitalization,123,Starter Post Q10 - Capitalization (Basic)
Is she your friend? ___.,36f975b3-4d8f-489b-8a9e-af1f677e66af,ELL-Specific Skills,182,ELL Advanced Post Q20 - Responding to Questions
I will go to my grandfather's house ___ school today.,392942c8-9460-4eee-afd1-1847c7fc1f5b,ELL-Specific Skills,182,ELL Advanced Pre Q19 - Prepositions
Did you already ___ Jordan at the airport?,3a5b5881-c04d-4934-a8e2-2237ff0466c4,Phrasal Verbs,181,ELL Advanced Post Q17 - Phrasal Verbs
We ___ sandwiches and apples.,3e83a55d-4594-403a-8e58-32ba8639eb47,Subject-Verb Agreement,172,ELL Intermediate Pre Q1 - Subject-Verb Agreement
I want to make ___ today.,3e8d8833-8b3a-44ff-b4b7-1296a5bf1dfb,Articles,176,ELL Intermediate Pre Q14 - Articles
Swimming is [harder] without goggles than with them. harder / more hard / more harder / hardest,411744f6-0a82-4570-8dec-06513342c838,Adjectives and Adverbs,125,Starter Post Q6 - Comparative vs. Superlative Adjectives
___ teacher has ___ homework.,426eb422-52fd-4f14-a220-c698921db143,Possessive Nouns and Pronouns,173,ELL Intermediate Pre Q4 - Possessives
This present is ___ my brother.,42f8172f-74d4-447c-b93b-59ecb3a08de1,Prepositions,174,ELL Intermediate Post Q10 - For
Is she ___ her birthday?,4318987b-0064-4181-b372-335485bad16a,Phrasal Verbs,181,ELL Advanced Post Q16 - Phrasal Verbs
We ___ ___ ___ a dog.,44252771-b016-4d58-970c-9f6aebd636b3,Sentences With Have,168,ELL Starter Post Q14 - Conjugating To Have
"Two days after the aquarium's researchers received ___ first octopus, the octopus escaped through a grate in the floor and found its way back to the ocean.",46e12a6c-6741-41a9-9174-997d22f1b7bd,Pronoun-Antecedent Agreement,144,PreAP1 Q3 - Pronoun Agreement With Collective Nouns
I carry our bags to the car last night.,48411cd6-3cc2-490f-8cce-7c71825f098e,Regular Past Tense,178,ELL Advanced Pre Q3 - Simple Past with -ied
___ is happy.,486d277f-03f7-47e7-8368-d613424b079e,Sentences With To Be,167,ELL Starter Post Q11 - Starting Sentences with Nouns
The Hubble Space Telescope was launched in 1990. It led to the discovery of galaxies far away from the earth. who / that / which,493ac0e7-457d-4164-9c97-33f350b3b595,Relative Clauses,139,Advanced Post Q6 - Relative Clauses (Which)
