english,spanish
<p>Describe how an action is done by adding an <em>-ly</em> word before the action or at the end of the sentence. </p>,<p>Describa cómo se realiza una acción añadiendo una palabra con <em>-ly</em> antes de la acción o al final de la frase.</p>
<p>Words or phrases in a list should all be in the same form. Avoid mixing words that end in <em>-ing </em>with words that don&#x27;t. Make them match!</p>,<p>Las palabras o frases en una lista deben estar todas en la misma forma. Evita mezclar palabras que terminan en <em>-ing</em> con palabras que no terminan así. ¡Haz que coincidan!</p>
<p>To Help</p>,<p>Auxiliar</p>
"<p>In a sentence, there&#x27;s a person or thing and an action word right after it.</p><br/><p>When a sentence is in active voice, the person or thing is the one doing the action that follows it.</p><br/><p>When a sentence is in passive voice, the person or thing right before the action word isn&#x27;t the one doing the action—the action is happening to the person or thing.</p>","<p>En una frase, hay una persona o cosa y un verbo justo después.</p><br/><p>Cuando una frase está en voz activa, la persona o cosa es la que realiza la acción que le sigue.</p><br/><p>Cuando una frase está en voz pasiva, la persona o cosa justo antes del verbo no es la que realiza la acción—la acción le ocurre a la persona o cosa.</p>"
<p>To Eat</p>,<p>Para Comer</p>
"<p>Use to + an action word (<em>to go</em>, <em>to eat</em>, <em>to love</em>) before a group of words to tell more about something. </p><br/><p>In this example, <em>to go on a trip</em> tells more about why I saved up money. </p>","<p>Utilice to + una palabra de acción (<em>to go</em>, <em>to eat</em>, <em>to love</em>) antes de un grupo de palabras para dar más información sobre algo. </p><br/><p>En este ejemplo, <em>to go on a trip</em> da más información sobre por qué ahorré dinero. </p>"
"<p>When two people, animals, or things are doing the same action, use an action word that matches <em>they</em>.</p>",<p>当两个人、动物或事物进行相同的动作时，使用与 <em>they</em> 相匹配的动作词。</p>
"<p>Adjectives give different types of information. They go in a certain order.</p>
<p><br></p>
<p>Opinion | Size | Age | Color | Country | Material</p>","<p>Los adjetivos proporcionan diferentes tipos de información. Se colocan en un cierto orden.</p>
<p><br></p>
<p>Opinión | Tamaño | Edad | Color | País | Material</p>"
"<p>When there is more than one <em>man</em>, use <em>men.</em></p>","<p>Quando há mais de um <em>man</em>, use <em>men.</em></p>"
"<p>Put a describing phrase in the middle, right after the word it describes. Put a comma before and after the phrase.</p>","<p>Coloca una frase descriptiva en el medio, justo después de la palabra que describe. Pon una coma antes y después de la frase.</p>"
"<p>Sometimes adjectives go before the noun and give different types of information.&nbsp;</p>
<p>They do not need a comma between them. They do not need ""and.""</p>","<p>A veces los adjetivos van antes del sustantivo y proporcionan diferentes tipos de información.&nbsp;</p>
<p>No necesitan una coma entre ellos. No necesitan ""y"".</p>"
<p>Everything that happens in the <em>present</em> must be written in the <em>present</em> tense.</p><p>Everything that happens in the <em>past</em> must be written in the <em>past</em> tense.</p><p>Everything that happens in the <em>future</em> must be written in the <em>future</em> tense.</p>,<p>Todo lo que sucede en el <em>present</em> debe escribirse en tiempo <em>present</em>.</p><p>Todo lo que sucede en el <em>past</em> debe escribirse en tiempo <em>past</em>.</p><p>Todo lo que sucede en el <em>future</em> debe escribirse en tiempo <em>future</em>.</p>
"<p>Use <em>the</em> before oceans, mountain ranges, sports teams, and monuments.</p><br/><p>Do not use <em>the</em> before cities, states, countries, or the name of a single mountain or lake.</p>","<p>Use <em>the</em> antes de océanos, cordilleras, equipos deportivos y monumentos.</p><br/><p>No use <em>the</em> antes de ciudades, estados, países, o el nombre de una única montaña o lago.</p>"
<p>Put a describing phrase that begins with an <em>-ed</em> word or an -<em>ing </em>word at the end of the sentence to describe what the person is doing or to describe the whole idea in the sentence. Use a comma!</p>,<p>Coloca una frase descriptiva que comience con una palabra en <em>-ed</em> o <em>-ing</em> al final de la frase para describir lo que está haciendo la persona o para describir la idea completa en la frase. ¡Usa una coma!</p>
<p>Add an <em>s</em> to a word to make it plural. This shows there is more than one.</p><br/><p>Add an apostrophe and an <em>s</em> to make it possessive. This shows ownership.</p>,<p>Agrega una <em>s</em> a una palabra para hacerla plural. Esto indica que hay más de uno.</p><br/><p>Agrega un apóstrofo y una <em>s</em> para hacerla posesiva. Esto indica propiedad.</p>
"<p>When you&#x27;re talking about more than one person or thing, add an <em>s</em> to the end of the person or thing to make it plural.</p>","<p>Cuando hables de más de una persona o cosa, añade una <em>s</em> al final de la persona o cosa para hacerlo plural.</p>"
<p>To Put</p>,<p>Para colocar</p>
<p>To Study</p>,<p>Para Estudiar</p>
<p>To Talk</p>,<p>Hablar</p>
<p><em>Can&#x27;t</em> is the combination of <em>can</em> and <em>not.</em></p>,<p><em>Can't</em> es la combinación de <em>can</em> y <em>not.</em></p>
<p>Put a describing phrase at the end of the sentence to describe what Jenny is doing. Use a comma!</p>,<p>Coloca una frase descriptiva al final de la frase para describir lo que Jenny está haciendo. ¡Usa una coma!</p>
<p>Combine sentences using <em>not only</em> and <em>but also</em> to show that two things are true.</p>,<p>Combina las oraciones utilizando <em>not only</em> y <em>but also</em> para mostrar que ambas cosas son ciertas.</p>
<p><em>Couldn’t</em> is the combination of <em>could</em> and <em>not.</em></p>,<p><em>Couldn’t</em> es la combinación de <em>could</em> y <em>not.</em></p>
<p>Use <em>from</em> when a person gave or sent something.</p><p>People can also be <em>from</em> a place.</p>,<p>Utiliza <em>from</em> cuando una persona dio o envió algo.</p><p>Las personas también pueden ser <em>from</em> un lugar.</p>
"<p>When a sentence begins with&nbsp;<em>there</em>, you usually need a word like&nbsp;<em>is, am, are, was&nbsp;</em>or&nbsp;<em>were</em>&nbsp;right after it.&nbsp;</p>","<p>Cuando una oración comienza con&nbsp;<em>there</em>, usualmente necesitas una palabra como&nbsp;<em>is, am, are, was</em>&nbsp;o&nbsp;<em>were</em>&nbsp;justo después.&nbsp;</p>"
"<p>When you connect two sentences by putting a joining word between them, you don’t need any commas.</p>","<p>Cuando conectas dos frases colocando una palabra de unión entre ellas, no necesitas ninguna coma.</p>"
