english,spanish
"<h3><strong>Come, Eat, and Drink</strong></h3><p>The past tense of <em>come</em> is <em>came</em>.</p><p>I <strong>come</strong> home yesterday. -&gt; I <strong>came</strong> home yesterday. </p><br/><p>The past tense of <em>eat</em> is <em>ate.</em></p><p>She <strong>eats</strong> cereal earlier. -&gt; She <strong>ate</strong> cereal earlier.</p><br/><p>The past tense of <em>drink</em> is <em>drank</em>.</p><p>He <strong>drinks</strong> coffee this morning. -&gt; He <strong>drank</strong> coffee this morning.</p>","<h3><strong>Ven, Come y Bebe</strong></h3><p>El tiempo pasado de <em>come</em> es <em>came</em>.</p><p>Yo <strong>come</strong> a casa ayer. -&gt; Yo <strong>came</strong> a casa ayer.</p><br/><p>El tiempo pasado de <em>eat</em> es <em>ate</em>.</p><p>Ella <strong>eats</strong> cereal antes. -&gt; Ella <strong>ate</river> cereal antes.</p><br/><p>El tiempo pasado de <em>drink</em> es <em>drank</em>.</p><p>Él <strong>drinks</strong> café esta mañana. -&gt; Él <strong>drank</strong> café esta mañana.</p>"
"<h3><strong>A, An with Things and Describing Words</strong></h3><p>Use <em>an</em> when a thing starts with a, e, i, o, or u.<br/>Use <em>a</em> when a thing starts with any other letter.</p><br/><p>Do not put <em>a</em>, <em>an</em>, or <em>the</em> before a single describing word.</p><br/><p><u>You See</u><br/>It is <strong>a / an</strong> apple.</p><br/><p><u>You Write</u><br/>It is <strong>an</strong> apple.</p><p><br/><u>You See</u></p><p>He is <strong>happy / a happy</strong>.</p><p><br/><u>You Write</u></p><p>He is <strong>happy</strong>.</p>","<h3><strong>A, An con Cosas y Palabras Descriptivas</strong></h3><p>Usa <em>an</em> cuando una cosa comienza con a, e, i, o, u.<br/>Usa <em>a</em> cuando una cosa comienza con cualquier otra letra.</p><br/><p>No coloques <em>a</em>, <em>an</em> o <em>the</em> antes de una sola palabra descriptiva.</p><br/><p><u>Ves</u><br/>Es <strong>a / an</strong> apple.</p><br/><p><u>Escribes</u><br/>Es <strong>an</strong> apple.</p><p><br/><u>Ves</u></p><p>Él es <strong>happy / a happy</strong>.</p><p><br/><u>Escribes</u></p><p>Él es <strong>happy</strong>.</p>"
"<h3><strong>A, An with Things and Describing Words</strong></h3><p>Use <em>an</em> when a thing starts with a, e, i, o, or u. </p><p>Use <em>a</em> when a thing starts with any other letter.</p><br/><p><u>You See</u></p><p>It is <strong>a / an</strong> apple.</p><br/><p><u>You Write</u></p><p>It is <strong>an</strong> apple.</p><br/><p>Do not put <em>a</em>, <em>an</em>, or <em>the</em> before a single describing word.</p><br/><p><u>You See</u></p><p>He is <strong>happy / a happy</strong>.</p><br/><p><u>You Write</u></p><p>He is <strong>happy</strong>.</p>","<h3><strong>A, An con Cosas y Palabras Descriptivas</strong></h3><p>Usa <em>an</em> cuando una cosa comienza con a, e, i, o, u.</p><p>Usa <em>a</em> cuando una cosa comienza con cualquier otra letra.</p><br/><p><u>Tú Ves</u></p><p>Es <strong>a / an</strong> apple.</p><br/><p><u>Tú Escribe</u></p><p>Es <strong>an</strong> apple.</p><br/><p>No coloques <em>a</em>, <em>an</em>, o <em>the</em> antes de una palabra descriptiva sola.</p><br/><p><u>Tú Ves</u></p><p>Él es <strong>happy / a happy</strong>.</p><br/><p><u>Tú Escribe</u></p><p>Él es <strong>happy</strong>.</p>"
"<h3><strong>Have, Do, and Go</strong></h3><p>The past tense of <em>have</em> is <em>had</em>.</p><p>I <strong>have</strong> a meeting yesterday. -&gt; I <strong>had</strong> a meeting yesterday.</p><br/><p>The past tense of <em>do</em> is <em>did.</em></p><p><strong>Do</strong> you go to the store earlier? -&gt; <strong>Did</strong> you go to the store earlier?</p><br/><p>The past tense of <em>go</em> is <em>went</em>.</p><p>She <strong>goes</strong> to the beach last week -&gt; She <strong>went</strong> to the beach last week.</p>","<h3><strong>Have, Do, y Go</strong></h3><p>El tiempo pasado de <em>have</em> es <em>had</em>.</p><p>Yo <strong>have</strong> una reunión ayer. -&gt; Yo <strong>had</strong> una reunión ayer.</p><br/><p>El tiempo pasado de <em>do</em> es <em>did.</em></p><p><strong>Do</strong> tú vas a la tienda antes? -&gt; <strong>Did</strong> tú vas a la tienda antes?</p><br/><p>El tiempo pasado de <em>go</em> es <em>went</em>.</p><p>Ella <strong>goes</strong> a la playa la semana pasada -&gt; Ella <strong>went</strong> a la playa la semana pasada.</p>"
<h3><strong>A / An</strong></h3><p>Put <strong>a</strong> or <strong>an</strong> before a person or thing.</p><br/><p><u>You See</u></p><p>Is she <strong>teacher / a teacher</strong>?</p><br/><p><u>You Write</u></p><p>Is she <strong>a teacher</strong>?</p>,<h3><strong>A / An</strong></h3><p>Coloca <strong>a</strong> o <strong>an</strong> antes de una persona o cosa.</p><br/><p><u>Ves</u></p><p>¿Es ella <strong>teacher / a teacher</strong>?</p><br/><p><u>Escribes</u></p><p>¿Es ella <strong>a teacher</strong>?</p>
"<h3><strong><em>The</em> Before People and Things</strong></h3><p>When you start a sentence with a thing, always put <em>the</em> before the thing.</p><br/><p><u>You See</u></p><p><strong>House / The house</strong> is blue.</p><br/><p><u>You Write</u></p><p><strong>The house</strong> is blue.</p>","<h3><strong><em>The</em> antes de personas y cosas</strong></h3><p>Cuando comiences una oración con una cosa, siempre coloca <em>the</em> antes de la cosa.</p><br/><p><u>Ves</u></p><p><strong>House / The house</strong> es azul.</p><br/><p><u>Escribes</u></p><p><strong>The house</strong> es azul.</p>"
"<h3><strong><em>The</em> Before People and Things</strong></h3><p>When you start a sentence with a thing, always put <em>the</em> before the thing.</p><br/><p><u>You See</u></p><p><strong>House / The house</strong> is blue.</p><br/><p><u>You Write</u></p><p><strong>The house</strong> is blue.</p>","<h3><strong><em>The</em> Antes de Personas y Cosas</strong></h3><p>Cuando comiences una oración con una cosa, siempre coloca <em>the</em> antes de la cosa.</p><br/><p><u>Ves</u></p><p><strong>House / The house</strong> es azul.</p><br/><p><u>Escribes</u></p><p><strong>The house</strong> es azul.</p>"
"<h3><strong>Say, Tell, Talk, and Ask</strong></h3><p><em>Say</em>, <em>tell</em>, <em>talk</em>, and <em>ask</em> are similar, but they are used in different situations.</p><br/><p>You can <em>say</em> something to somebody.</p><p>You can <em>tell</em> somebody something.</p><p>You can <em>talk</em> to somebody.</p><p>You can <em>ask</em> somebody a question.</p><br/><p><strong><u>You See</u></strong></p><p>Did you just ___ to your mom?</p><br/><p><strong><u>You Write</u></strong></p><p>Did you just <strong>talk</strong> to your mom?</p>","<h3><strong>Decir, Contar, Hablar y Preguntar</strong></h3><p><em>Say</em>, <em>tell</em>, <em>talk</em> y <em>ask</em> son similares, pero se utilizan en situaciones diferentes.</p><br/><p>Puedes <em>say</em> algo a alguien.</p><p>Puedes <em>tell</em> algo a alguien.</p><p>Puedes <em>talk</em> con alguien.</p><p>Puedes <em>ask</em> una pregunta a alguien.</p><br/><p><strong><u>You See</u></strong></p><p>¿Acabas de ___ a tu mamá?</p><br/><p><strong><u>You Write</u></strong></p><p>¿Acabas de <strong>talk</strong> con tu mamá?</p>"
"<h3><strong>Combining Sentences</strong></h3><p>When two sentences talk about the same person, you can combine them into one sentence. Use <em>and</em> to connect the two things about the person. </p><br/><p>When there is only one of each thing, put <em>a</em> or <em>an</em> before both things.</p><br/><p><u>You See</u> </p><p>She is a mother.</p><p>She is a doctor. </p><br/><p><u>You Write</u> </p><p>She is a mother <strong>and</strong> a doctor.</p>","<h3><strong>Combinar Oraciones</strong></h3><p>Cuando dos oraciones hablan sobre la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las dos cosas sobre la persona. </p><br/><p>Cuando hay solo una de cada cosa, pon <em>a</em> o <em>an</em> antes de ambas cosas.</p><br/><p><u>Tú Ves</u> </p><p>Ella es madre.</p><p>Ella es doctora. </p><br/><p><u>Tú Escribe</u> </p><p>Ella es madre <strong>y</strong> doctora.</p>"
"<h3><strong>Say, Tell, Talk, and Ask</strong></h3><p><em>Say</em>, <em>tell</em>, <em>talk</em>, and <em>ask</em> are similar, but they are used in different situations.</p><br/><p>You can <em>say</em> something to somebody.</p><p>You can <em>tell</em> somebody something.</p><p>You can <em>talk</em> to somebody.</p><p>You can <em>ask</em> somebody a question.</p><br/><p><strong><u>You See</u></strong></p><p>Did you just ___ to your mom?</p><br/><p><strong><u>You Write</u></strong></p><p>Did you just <strong>talk</strong> to your mom?</p>","<h3><strong>Decir, Contar, Hablar y Preguntar</strong></h3><p><em>Say</em>, <em>tell</em>, <em>talk</em> y <em>ask</em> son similares, pero se utilizan en situaciones diferentes.</p><br/><p>Puedes <em>say</em> algo a alguien.</p><p>Puedes <em>tell</em> algo a alguien.</p><p>Puedes <em>talk</e> con alguien.</p><p>Puedes <em>ask</em> una pregunta a alguien.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>¿Acabas de ___ a tu mamá?</p><br/><p><strong><u>Tú Escribes</u></strong></p><p>¿Acabas de <strong>talk</strong> a tu mamá?</p>"
"<h3><strong>Come, Eat, and Drink</strong></h3><p>The past tense of <em>come</em> is <em>came</em>.<br/>I <strong>come</strong> home yesterday. -&gt; I <strong>came</strong> home yesterday.<br/><br/>The past tense of <em>eat</em> is <em>ate.</em><br/>She <strong>eats</strong> cereal earlier. -&gt; She <strong>ate</strong> cereal earlier.</p><p><br/>The past tense of <em>drink</em> is <em>drank</em>.<br/>He <strong>drinks</strong> coffee this morning. -&gt; He <strong>drank</strong> coffee this morning.</p>","<h3><strong>Ven, Come y Bebe</strong></h3><p>El tiempo pasado de <em>come</em> es <em>came</em>.<br/>Yo <strong>come</strong> a casa ayer. -&gt; Yo <strong>came</strong> a casa ayer.<br/><br/>El tiempo pasado de <em>eat</em> es <em>ate.</em><br/>Ella <strong>eats</strong> cereal más temprano. -&gt; Ella <strong>ate</strong> cereal más temprano.</p><p><br/>El tiempo pasado de <em>drink</em> es <em>drank</em>.<br/>Él <strong>drinks</strong> café esta mañana. -&gt; Él <strong>drank</strong> café esta mañana.</p>"
"<h3><strong>Take, Give, and Get</strong></h3><p>The past tense of <em>take</em> is <em>took</em>.</p><p>I <strong>take</strong> a test yesterday. -&gt; I <strong>took</strong> a test yesterday.</p><br/><p>The past tense of <em>give</em> is <em>gave.</em></p><p>She <strong>gives</strong> him a present earlier. -&gt; She <strong>gave</strong> him a present earlier.</p><br/><p>The past tense of <em>get</em> is <em>got</em>.</p><p>They all <strong>get</strong> candy for Halloween. -&gt; They all <strong>got</strong> candy for Halloween.</p>","<h3><strong>Take, Give, and Get</strong></h3><p>El pasado de <em>take</em> es <em>took</em>.</p><p>Yo <strong>take</strong> un examen ayer. -&gt; Yo <strong>took</strong> un examen ayer.</p><br/><p>El pasado de <em>give</em> es <em>gave.</em></p><p>Ella <strong>gives</strong> un regalo antes. -&gt; Ella <strong>gave</slleg> un regalo antes.</p><br/><p>El pasado de <em>get</em> es <em>got</em>.</p><p>Ellos todos <strong>get</strong> dulces para Halloween. -&gt; Ellos todos <strong>got</strong> dulces para Halloween.</p>"
"<h3><strong>Using Can</strong></h3><p>To ask a question with <em>can</em>, put <em>can</em> first, the person second, and the action word third.</p><br/><p><strong><u>You See</u></strong></p><p>___ ___ ___ peanuts?</p><br/><p><strong><u>You Write</u></strong></p><p><strong>Can she eat</strong> peanuts?</p>","<h3><strong>Usando Can</strong></h3><p>Para hacer una pregunta con <em>can</em>, coloca <em>can</em> primero, la persona en segundo lugar y la palabra de acción en tercero.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>___ ___ ___ peanuts?</p><br/><p><strong><u>Tú Escribe</u></strong></p><p><strong>Can she eat</strong> peanuts?</p>"
"<h3><strong>To Be</strong></h3><p><em>Be</em> is an action word. When you use <em>be</em> after a person or thing, you have to change <em>be</em> to <em>am</em>, <em>are</em>, or <em>is</em>.</p><br/><p>I <em>am </em><br/>You <em>are</em><br/>He <em>is</em><br/>She<em> is</em><br/>It<em> is</em><br/>We <em>are</em><br/>They <em>are</em></p><br/><p><u>You See</u><br/>I ___ a kind teacher.</p><br/><p><u>You Write</u><br/>I <strong>am</strong> a kind teacher.</p>","<h3><strong>Ser</strong></h3><p><em>Be</em> es un verbo de acción. Cuando usas <em>be</em> después de una persona o cosa, debes cambiar <em>be</em> por <em>am</em>, <em>are</em> o <em>is</em>.</p><br/><p>Yo <em>am</em><br/>Tú <em>are</em><br/>Él <em>is</em><br/>Ella<em> is</em><br/>Eso<em> is</em><br/>Nosotros <em>are</em><br/>Ellos <em>are</em></p><br/><p><u>Tú Ves</u><br/>Yo ___ un profesor amable.</p><br/><p><u>Tú Escribes</u><br/>Yo <strong>am</strong> un profesor amable.</p>"
"<h3><strong>Take, Give, and Get</strong></h3><p>The past tense of <em>take</em> is <em>took</em>.</p><p>I <strong>take</strong> a test yesterday. -&gt; I <strong>took</strong> a test yesterday.  </p><br/><p>The past tense of <em>give</em> is <em>gave.</em> </p><p>She <strong>gives</strong> him a present earlier. -&gt; She <strong>gave</strong> him a present earlier. </p><br/><p>The past tense of <em>get</em> is <em>got</em>. </p><p>They all <strong>get</strong> candy for Halloween. -&gt; They all <strong>got</strong> candy for Halloween.</p>","<h3><strong>Take, Give, and Get</strong></h3><p>El tiempo pasado de <em>take</em> es <em>took</em>.</p><p>Yo <strong>take</strong> un examen ayer. -> Yo <strong>took</strong> un examen ayer.</p><br/><p>El tiempo pasado de <em>give</em> es <em>gave</em>.</p><p>Ella <strong>gives</strong> a él un regalo antes. -> Ella <strong>gave</strong> a él un regalo antes.</p><br/><p>El tiempo pasado de <em>get</em> es <em>got</em>. </p><p>Todos ellos <strong>get</strong> dulces para Halloween. -> Todos ellos <strong>got</strong> dulces para Halloween.</p>"
"<h3><strong>Action Phrase Meanings</strong></h3><p>All action phrases have different meanings, and sometimes the meanings are unexpected.</p><br/><p><strong><u>You See</u></strong></p><p>I will <u>pick her up / put her away / back her up</u> from the airport later?</p><br/><p><strong><u>You Write</u></strong></p><p>I will <strong>pick her up </strong>from the airport later?</p>","<h3><strong>Significados de Frases de Acción</strong></h3><p>Todas las frases de acción tienen diferentes significados, y a veces los significados son inesperados.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>Voy a <u>recogerla / guardarla / respaldarla</u> del aeropuerto más tarde?</p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Voy a <strong>recogerla</strong> del aeropuerto más tarde?</p>"
"<h3><strong>Action Phrase Meanings</strong></h3><p>All action phrases have different meanings, and sometimes the meanings are unexpected.</p><br/><p><strong><u>You See</u></strong></p><p>I will <u>pick her up / put her away / back her up</u> from the airport later?</p><br/><p><strong><u>You Write</u></strong></p><p>I will <strong>pick her up </strong>from the airport later?</p>","<h3><strong>Significados de Frases de Acción</strong></h3><p>Todas las frases de acción tienen diferentes significados, y a veces los significados son inesperados.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>Yo <u>pick her up / put her away / back her up</u> del aeropuerto más tarde?</p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Yo <strong>pick her up</strong> del aeropuerto más tarde?</p>"
"<h3><strong>Describing Things and Actions With Phrases</strong></h3><p>Give more information about a thing or action with phrases that start with words like <em>in, at, on, to, behind, about, toward, down, </em>and<em> after.  </em></p><br/><p>Put the phrase right after the thing or action it’s describing. Do not use a comma.</p><p><br/><strong><u>You See</u></strong></p><p>Julie baked bread ___ the oven. </p><br/><p><strong><u>You Write</u></strong></p><p>Julie baked bread <strong>in</strong> the oven.</p>","<h3><strong>Describiendo cosas y acciones con frases</strong></h3><p>Proporciona más información sobre una cosa o acción con frases que comienzan con palabras como <em>in, at, on, to, behind, about, toward, down,</em> y<em> after.</em></p><br/><p>Coloca la frase justo después de la cosa o acción que está describiendo. No uses coma.</p><p><br/><strong><u>Tú Ves</u></strong></p><p>Julie horneó pan ___ el horno. </p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Julie horneó pan <strong>in</strong> el horno.</p>"
"<h3><strong>Describing Things and Actions With Phrases</strong></h3><p>Give more information about a thing or action with phrases that start with words like <em>in, at, on, to, behind, about, toward, down, </em>and<em> after.</em></p><br/><p>Put the phrase right after the thing or action it’s describing. Do not use a comma.</p><br/><p><strong><u>You See</u></strong></p><p>Julie baked bread ___ the oven.</p><br/><p><strong><u>You Write</u></strong></p><p>Julie baked bread <strong>in</strong> the oven.</p>","<h3><strong>Describiendo Cosas y Acciones con Frases</strong></h3><p>Brinda más información sobre una cosa o acción con frases que comienzan con palabras como <em>in, at, on, to, behind, about, toward, down, </em>y<em> after.</em></p><br/><p>Coloca la frase justo después de la cosa o acción que está describiendo. No uses coma.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>Julie horneó pan ___ el horno.</p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Julie horneó pan <strong>en</strong> el horno.</p>"
"<h3><strong>Say, Tell, and Hear</strong></h3><p>The past tense of <em>say</em> is <em>said</em>. </p><p>I <strong>say</strong> I wanted tacos for dinner. -&gt; I <strong>said</strong> I wanted tacos for dinner.</p><br/><p>The past tense of <em>tell</em> is <em>told.</em> </p><p>She <strong>tells</strong> her mom something earlier. -&gt; She <strong>told</strong> her mom something earlier.</p><br/><p>The past tense of <em>hear</em> is <em>heard</em>. </p><p>He <strong>hears</strong> Kyle singing this morning. -&gt; He <strong>heard</strong> Kyle singing this morning.</p>","<h3><strong>Say, Tell, and Hear</strong></h3><p>El pasado de <em>say</em> es <em>said</em>. </p><p>Yo <strong>say</strong> que quería tacos para cenar. -&gt; Yo <strong>said</strong> que quería tacos para cenar.</p><br/><p>El pasado de <em>tell</em> es <em>told.</em> </p><p>Ella <strong>tells</strong> algo a su mamá más temprano. -&gt; Ella <strong>told</strong> algo a su mamá más temprano.</p><br/><p>El pasado de <em>hear</em> es <em>heard</em>. </p><p>Él <strong>hears</strong> a Kyle cantar esta mañana. -&gt; Él <strong>heard</strong> a Kyle cantar esta mañana.</p>"
"<h3><strong>Combining Sentences</strong></h3><p>When two sentences talk about the same person, you can combine them into one sentence. Use <em>and</em> to connect the two things about the person.  </p><br/><p>When there is only one of each thing, put <em>a</em> or <em>an</em> before both things. </p><br/><p><u>You See</u> </p><p>She has a dog.</p><p>She has a cat.  </p><br/><p><u>You Write</u> </p><p>She has a dog <strong>and</strong> a cat.</p>","<h3><strong>Combinando Oraciones</strong></h3><p>Cuando dos oraciones hablan sobre la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las dos cosas sobre la persona. </p><br/><p>Cuando solo hay uno de cada cosa, coloca <em>a</em> o <em>an</em> antes de ambas cosas. </p><br/><p><u>You See</u> </p><p>She has a dog.</p><p>She has a cat.  </p><br/><p><u>You Write</u> </p><p>She has a dog <strong>and</strong> a cat.</p>"
