english,spanish
<p>Put a describing phrase that begins with an <em>-ed</em> word or an -<em>ing </em>word at the end of the sentence to describe what the person is doing or to describe the whole idea in the sentence. Use a comma!</p>,<p>Coloca una frase descriptiva que comience con una palabra en <em>-ed</em> o en -<em>ing</em> al final de la oración para describir lo que la persona está haciendo o para describir la idea completa de la oración. ¡Usa una coma!</p>
<p>Add an <em>s</em> to a word to make it plural. This shows there is more than one.</p><br/><p>Add an apostrophe and an <em>s</em> to make it possessive. This shows ownership.</p>,<p>Agrega una <em>s</em> a una palabra para hacerla plural. Esto indica que hay más de uno.</p><br/><p>Agrega un apóstrofo y una <em>s</em> para hacerla posesiva. Esto muestra propiedad.</p>
"<p>When you&#x27;re talking about more than one person or thing, add an <em>s</em> to the end of the person or thing to make it plural.</p>","<p>Cuando hables de más de una persona o cosa, agrega una <em>s</ema> al final de la persona o cosa para hacerlo plural.</p>"
<p>To Put</p>,<p>To Put</p>
<p>To Study</p>,<p>Para estudiar</p>
<p>To Talk</p>,<p>Para hablar</p>
<p><em>Can&#x27;t</em> is the combination of <em>can</em> and <em>not.</em></p>,<p><em>Can't</em> es la combinación de <em>can</em> y <em>not.</em></p>
<p>Put a describing phrase at the end of the sentence to describe what Jenny is doing. Use a comma!</p>,<p>Coloca una frase descriptiva al final de la oración para describir lo que Jenny está haciendo. ¡Usa una coma!</p>
<p>Combine sentences using <em>not only</em> and <em>but also</em> to show that two things are true.</p>,<p>Combina las oraciones usando <em>not only</em> y <em>but also</em> para mostrar que ambas cosas son ciertas.</p>
<p><em>Couldn’t</em> is the combination of <em>could</em> and <em>not.</em></p>,<p><em>Couldn’t</em> es la combinación de <em>could</em> y <em>not.</em></p>
<p>Use <em>from</em> when a person gave or sent something.</p><p>People can also be <em>from</em> a place.</p>,<p>Usa <em>from</em> cuando una persona dio o envió algo.</p><p>Las personas también pueden ser <em>from</em> un lugar.</p>
"<p>When a sentence begins with&nbsp;<em>there</em>, you usually need a word like&nbsp;<em>is, am, are, was&nbsp;</em>or&nbsp;<em>were</em>&nbsp;right after it.&nbsp;</p>","<p>Cuando una oración comienza con&nbsp;<em>there</em>, generalmente necesitas una palabra como&nbsp;<em>is, am, are, was</em>&nbsp;o&nbsp;<em>were</em>&nbsp;justo después.&nbsp;</p>"
"<p>When you connect two sentences by putting a joining word between them, you don’t need any commas.</p>","<p>Cuando conectas dos oraciones colocando una palabra de unión entre ellas, no necesitas ninguna coma.</p>"
