activity_id,prompt_id,feedback_id,feedback_primary,feedback_secondary
467,750,7806,"<p>Revise your response. Instead of writing about the future, focus on the game companies that have started to use generative AI.<br/><br/>What is one of the companies using generative AI to develop realistic NPCs?</p>",<p>Revise your response. Read the highlighted text. <br/><br/>What is one of the companies developing AI-powered NPCs?</p>
467,750,7808,"<p>That&#x27;s true, some players may enjoy AI-powered NPCs! Now be more specific. <br/><br/>What kind of gameplay experience can players expect with AI-powered NPCs?</p>",<p>Keep revising! Try to be even more specific. <br/><br/>What can kind of gameplay experience can some players look forward to with AI-powered NPCs? Read the highlighted text for ideas.</p>
467,750,7810,<p>Try clearing your response and starting again.<br/><br/><em>So</em> is used to explain an effect or consequence. Go back to the text and look for something that has happened because generative AI can make NPCs seem more realistic. <br/><br/>What are some game developers doing in response to the fact that generative AI can make NPCs more realistic?</p>,<p>Try clearing your response and starting again. <br/><br/>Talk about something that has happened because generative AI can make NPCs seem more realistic. <br/><br/>What is the name of one of the companies developing AI-powered NPCs? Use the highlighted text for ideas.</p>
467,750,7812,<p>Try clearing your response and starting again.<br/><br/><em>So</em> is used to explain an effect or consequence. Go back to the text and look for something that has happened because generative AI can make NPCs seem more realistic. <br/><br/>What are some game developers doing in response to the fact that generative AI can make NPCs more realistic?</p>,<p>Try clearing your response and starting again. <br/><br/>Talk about something that has happened because generative AI can make NPCs seem more realistic. <br/><br/>What is the name of one of the companies developing AI-powered NPCs? Use the highlighted text for ideas.</p>
467,750,7814,<p>Try clearing your response and starting again. <br/><br/>What are some game developers doing in response to the fact that generative AI can make NPCs more realistic? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What is the name of one of the companies developing AI-powered NPCs? Read the highlighted text for ideas.</p>
467,749,7777,<p>That&#x27;s true! Now add to your response. <br/><br/>What feature of AI-powered NPCs could be rude or inappropriate?</p>,<p>Keep revising! Try to be more specific.<br/><br/>What can AI-powered NPCs do that could be seen as rude or inappropriate?</p>
467,749,7779,<p>That&#x27;s true! Now be more specific. <br/><br/>What issues could AI-powered NPCs have that would be distracting?</p>,<p>Keep revising! Try to be even more specific. <br/><br/>What can AI-powered NPCs do that might be distracting for players? Read the highlighted text for ideas.</p>
467,749,7781,<p>That&#x27;s true! Now be more specific. <br/><br/>What issues could AI-powered NPCs have that could change a game&#x27;s narrative?</p>,<p>Keep revising! Try to be even more specific. <br/><br/>What can AI-powered NPCs do that could change a game&#x27;s narrative? Read the highlighted text for ideas.</p>
467,749,7783,<p>AI-powered NPCs do come with risks—that&#x27;s true! Now add to your response. <br/><br/>What is one of the risks of AI-powered NPCs?</p>,<p>Keep revising! Add more information to your response.<br/><br/>What do game developers risk when using AI-powered NPCs in their games?</p>
467,749,7785,<p>AI-powered NPCs could be unpredictable—that&#x27;s true! Now add to your response. <br/><br/>What feature of AI-powered NPCs could be unpredictable?</p>,<p>Keep revising. Add more information to your response.<br/><br/>What can AI-powered NPCs do that could be unpredictable?</p>
467,749,7787,"<p>Revise your response. Instead of writing about tradtional NPCs, focus on AI-powered NPCs. <br/><br/>Read that part of the text again. What issues could AI-powered NPCs have?</p>",<p>Revise your response. Read the highlighted text. <br/><br/>What can AI-powered NPCs do that might be distracting for players?</p>
467,749,7789,<p>Try clearing your response and starting again. <em>But</em> is used to explain a contrasting or surprising idea. Go back to the text and look for some of the risks that come with using AI-powered NPCs.<br/><br/>What issues could AI-powered NPCs have?</p>,<p>Try clearing your response and starting again. Talk about the risks of using AI-powered NPCs. <br/><br/>What can AI-powered NPCs do that might be distracting for players? Use the highlighted text for ideas.</p>
467,749,7791,<p>Try clearing your response and starting again. <em>But</em> is used to explain a contrasting or surprising idea. Go back to the text and look for some of the risks that come with using AI-powered NPCs.<br/><br/>What issues could AI-powered NPCs have?</p>,<p>Try clearing your response and starting again. Talk about the risks of using AI-powered NPCs. <br/><br/>What can AI-powered NPCs do that might be distracting for players? Use the highlighted text for ideas.</p>
467,749,7793,<p>Try clearing your response and starting again. <br/><br/>What do game developers risk when using AI-powered NPCs? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What can AI-powered NPCs do that could change a game&#x27;s narrative? Read the highlighted text for ideas.</p>
467,748,7752,<p>That&#x27;s true! Now add more information to your response. <br/><br/>How do adaptable algorithms make smart NPCs seem more realistic?</p>,<p>Keep revising! Add more information to your response.<br/><br/>What are smart NPCs able to do with their adaptable algorithms?</p>
467,748,7754,<p>That&#x27;s true! Now be more specific. <br/><br/><br/>What makes AI-powered NPCs more fun or immersive than traditional NPCs?</p>,<p>Keep revising! Try to be even more specific. <br/><br/>What feature of AI-powered NPCs can make them more fun or immersive than traditional NPCs? Read the highlighted text for ideas.</p>
467,748,7756,"<p>Revise your response. Instead of writing about how generative AI works, focus on how it can be used for NPCs.<br/><br/>How can generative AI help NPCs seem more realistic?</p>",<p>Revise your response. Read the highlighted text. <br/><br/>What are AI-powered NPCs able to do that makes them seem realistic?</p>
467,748,7758,<p>It&#x27;s true that AI-powered NPCs can have better dialogue. Now expand your response. <br/><br/>What does this make AI-powered NPCs different from?</p>,<p>Keep revising! Add more information to your response. <br/><br/>What does having a greater variety of dialogue make AI-powered NPCs different from? Read the highlighted text for ideas.</p>
467,748,7760,<p>That&#x27;s true! Now be more specific. <br/><br/>What can AI-powered NPCs do that makes them seem more realistic?</p>,<p>Keep revising! Try to be even more specific.<br/><br/>What can AI-powered NPCs do that makes them more lifelike? Read the highlighted text for ideas.</p>
467,748,7762,<p>That&#x27;s true! Now add to your response. <br/><br/>Who exactly can AI-powered NPCs respond to?</p>,<p>Keep revising! Add more information to your response.<br/><br/>What can players do that AI-powered NPCs can respond to?</p>
467,748,7764,<p>Try clearing your response and starting again.<br/><br/><em>Because </em>is used to explain why or give a reason. Go back to the text and look for a reason why AI-powered NPCs would seem realistic.<br/><br/>How can generative AI help NPCs seem more realistic?</p>,<p>Try clearing your response and starting again. <br/><br/>Talk about why AI-powered NPCs would seem realistic. <br/><br/>What are AI-powered NPCs able to do that makes them seem realistic? Use the highlighted text for ideas.</p>
467,748,7766,<p>Try clearing your response and starting again. <em>Because</em> is used to explain why or give a reason. Go back to the text and look for a reason why AI-powered NPCs would seem realistic.<br/><br/>How can generative AI help NPCs seem more realistic?</p>,<p>Try clearing your response and starting again. <br/><br/>Talk about why AI-powered NPCs would seem realistic. <br/><br/>What are AI-powered NPCs able to do that makes them seem realistic? Use the highlighted text for ideas.</p>
467,748,7768,"<p>Revise your response. Instead of writing about how traditional NPCs work, focus AI-powered NPCs.<br/><br/>How can generative AI help NPCs seem more realistic? Read that part of the text again.</p>",<p>Revise your response. Read the highlighted text. <br/><br/>What are AI-powered NPCs able to do that makes them seem realistic?</p>
467,748,7770,<p>Try clearing your response and starting again. <br/><br/>How can generative AI help NPCs seem more realistic? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What are AI-powered NPCs able to do that makes them seem realistic? Read the highlighted text for ideas.</p>
466,747,7652,<p>That&#x27;s true! Now add more information. What did Soviet leaders do after Tereshkova&#x27;s launch to use it as propaganda?</p>,<p>Keep revising! Add another detail. How did Soviet leaders promote Tereshkova&#x27;s accomplishment to the world? Read the highlighted text for ideas.</p>
466,747,7654,<p>That&#x27;s true! Now add more information. What accomplishment were these events designed to celebrate?</p>,<p>Keep revising! Add another detail. What did leaders want to promote with these celebrations? Read the highlighted text for ideas.</p>
466,747,7656,<p>That&#x27;s true! Now add more information. What characteristics did Soviet leaders think someone needed to represent the Soviet Union on the global stage?</p>,<p>Keep revising! Add another detail. What did Soviet leaders believe was the ideal background for the first woman cosmonaut? Read the highlighted text for ideas.</p>
466,747,7658,<p>That&#x27;s true! Now add more information. What did Soviet leaders want to accomplish by controlling how the media showed Tereshkova?</p>,<p>Keep revising! Add another detail. How did Soviet officials want to portray the space program to the world? Read the highlighted text for ideas.</p>
466,747,7664,"<p>Try clearing your response and starting again.<br/><br/>Instead of writing about a challenge that Soviet leaders faced, focus on how they promoted their accomplishment. What did Soviet leaders do after Tereshkova&#x27;s launch to use it as propaganda?</p>",<p>Try clearing your response and starting again. <br/><br/>How did Soviet leaders promote Tereshkova&#x27;s achievement to the world? Read the highlighted text for ideas.</p>
466,747,7666,<p>That&#x27;s the right idea! Now add more information. Why were Soviet leaders searching for women with a working class or communist background?</p>,<p>Keep revising! Add another detail. What did Soviet leaders believe a woman with this experience would help them do? Read the highlighted text for ideas.</p>
466,747,7668,<p>It&#x27;s true that Soviet officials used the launch as propaganda. Now add more information. What did they do to promote the launch?</p>,<p>Keep revising! Add another detail. How did Soviet leaders celebrate Tereshkova&#x27;s mission? Read the highlighted text for ideas.</p>
466,747,7670,<p>Try clearing your response and starting again. <br/><br/>What did Soviet leaders do after Tereshkova&#x27;s launch to use it as propaganda? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>How did Soviet leaders promote Tereshkova&#x27;s accomplishment to the world? Read the highlighted text for ideas.</p>
466,747,7712,<p>That&#x27;s true! Now add more information. What characteristics did Tereshkova have that Soviet leaders wanted to promote?</p>,"<p>Keep revising! Add another detail. According to Soviet officials, what about Tereshkova&#x27;s background made her an ideal candidate? Read the highlighted text for ideas.</p>"
466,747,7839,<p>That&#x27;s true! Now be more specific. What personal qualities did Soviet leaders want the first woman cosmonaut to have?</p>,<p>Keep revising! Try to be even more specific. What characteristics were Soviet leaders looking for in addition to physical and mental abilities? Read the highlighted text for ideas.</p>
466,747,7842,"<p>Try clearing your response and starting again.<br/><br/>Instead of writing about the conflict with the United States, focus on how Soviet Leaders promoted their accomplishment. What did they do after Tereshkova&#x27;s launch to use it as propaganda?</p>",<p>Try clearing your response and starting again. <br/><br/>How did Soviet leaders promote Tereshkova&#x27;s achievement to the world? Read the highlighted text for ideas.</p>
466,746,7631,<p>That&#x27;s true! Now add more information. What happened after Tereshkova&#x27;s flight that suggests that Soviet leaders weren&#x27;t committed to equality?</p>,<p>Keep revising! Add another detail. What change shows that Soviet leaders didn&#x27;t actually want equality? Read the highlighted text for ideas.</p>
466,746,7633,<p>That&#x27;s true! Now add more information. How did this impact the search for recruits?</p>,<p>Keep revising! Add another detail. How did the length of this process affect the recruitment? Read the highlighted text for ideas.</p>
466,746,7635,<p>That&#x27;s true! Now add more information. How did this impact the search for recruits?</p>,<p>Keep revising! Add another detail. How did strict standards affect the recruitment process? Read the highlighted text for ideas.</p>
466,746,7637,<p>That&#x27;s true! Now be more specific. Why were Soviet leaders unsure about continuing the women&#x27;s space program?</p>,<p>Keep revising! Try to be even more specific. What was one reason Soviet leaders didn&#x27;t want to send another woman to space? Read the highlighted text for ideas.</p>
466,746,7639,"<p>Instead of writing about the US, focus on a <strong>challenge</strong> that Soviet leaders faced. What made it difficult to find the first woman cosmonaut?</p>",<p>Try clearing your response and starting again. <br/><br/>Write about something surprising that took place after leaders sent the first woman to space. What happened to the space program later? Read the highlighted text for ideas.</p>
466,746,7641,"<p>Re-read the text carefully, then revise your response. Soviet leaders claimed that they were pursuing equality, but their actions didn&#x27;t show that. What happened after Tereshkova&#x27;s flight suggests officials <strong>weren&#x27;t</strong> committed to equality?</p>",<p>Try clearing your response and starting again.<br/><br/>What later change shows that Soviet leaders <strong>didn&#x27;t</strong> want equality? Read the highlighted text for ideas.</p>
466,746,7643,"<p>Instead of writing about why Soviet leaders wanted to send the first woman to space, focus on a challenge they faced. What made it difficult to find qualified women recruits?</p>",<p>Try clearing your response and starting again. <br/><br/>Write about something surprising that took place after leaders sent the first woman to space. What happened to the space program later? Read the highlighted text for ideas.</p>
466,746,7647,<p>Try clearing your response and starting again. <br/><br/>What happened after Tereshkova&#x27;s flight that suggested that Soviet leaders weren&#x27;t committed to gender equality? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What change showed that Soviet leaders didn&#x27;t actually want equality? Read the highlighted text for ideas.</p>
466,746,7830,<p>That&#x27;s true! Now be more specific. When did Soviet leaders decide to abandon the women&#x27;s space program?</p>,<p>Keep revising! Try to be even more specific. After which launch did Soviet leaders decide to abandon the women&#x27;s space program? Read the highlighted text for ideas.</p>
466,746,7832,<p>That&#x27;s true! Now add more information. What made it difficult to find qualified women to go to space?</p>,<p>Keep revising! Add another detail. What job experience did many male cosmonauts have that Soviet women could not get? Read the highlighted text for ideas.</p>
466,746,7834,<p>It&#x27;s true that women were not allowed to be pilots. Now add more information. How did the low number of female pilots impact the search for recruits?</p>,<p>Keep revising! Add another detail. Why was it a problem for Soviet leaders that none of the Soviet women had experience as pilots? Read the highlighted text for ideas.</p>
466,746,7836,"<p>Try clearing your response and starting again.</p><br/><p>Instead of writing about how Soviet leaders tried to use this launch as propaganda, focus on a challenge they faced. What made it difficult to find qualified women recruits?</p>",<p>Try clearing your response and starting again. <br/><br/>Write about something surprising that took place after leaders sent the first woman to space. What happened to the space program later? Read the highlighted text for ideas.</p>
466,745,7603,<p>You&#x27;re on the right track! Now be more specific. What type of superiority did Soviet leaders want to demonstrate?</p>,<p>Almost there! Try to be even more specific. What is one area in which the USSR would seem more advanced if they sent the first woman to space? Read the highlighted text for ideas.</p>
466,745,7607,<p>You have the right idea! Now add more information. What system did Soviet leaders want to portray as more equal?</p>,<p>Keep revising! Add another detail. Which kind of society would seem to have more opportunities if the USSR launched the first woman? Read the highlighted text for ideas.</p>
466,745,7611,<p>That&#x27;s a challenge that Soviet leaders faced. Write about a <strong>reason</strong> that Soviet leaders thought it would be useful to send a woman to space instead. What would this milestone show about their society?</p>,<p>Try clearing your response and starting again. <br/><br/>Write about why Soviet leaders wanted to send the first woman to space. What did they think this would demonstrate? Read the highlighted text for ideas.</p>
466,745,7615,"<p>Instead of writing about how Soviet leaders tried to use this launch as propaganda, focus on a <strong>reason</strong> that leaders thought it would be useful to send a woman to space instead. What would this milestone show about their society?</p>",<p>Try clearing your response and starting again. <br/><br/>Write about why Soviet leaders wanted to send the first woman to space. What did they think this would demonstrate? Read the highlighted text for ideas.</p>
466,745,7617,<p>It&#x27;s true that Soviet leaders wanted to use the launch to promote a message. Now be more specific. What did they think this accomplishment would show the world?</p>,<p>Keep revising! Try to be even more specific. What did Soviet leaders think they would demonstrate by sending the first woman to space? Read the highlighted text for ideas.</p>
466,745,7619,<p>That&#x27;s true! Now be more specific. What claims about the USSR did its leaders want to disprove?</p>,<p>Keep revising! Try to be even more specific. What did Soviet leaders think they would prove about their society by sending the first woman to space? Read the highlighted text for ideas.</p>
466,745,7621,"<p>Instead of writing about the Space Race in general, focus on Soviet leaders&#x27; plans to send the first woman to space. What did they think this accomplishment would prove?</p>",<p>Keep revising! Write about why Soviet leaders specifically wanted to send the first woman to space. What did they think this would show about their society? Read the highlighted text for ideas.</p>
466,745,7623,"<p>Instead of writing about the US, focus on what the USSR wanted to achieve by sending a woman to space. What did Soviet leaders think they would prove if they accomplished this first?</p>",<p>Keep revising! Make sure your response includes a reason Soviet leaders thought they would benefit from sending a woman to space. What did they think this milestone would show about the USSR? Read the highlighted text for ideas.</p>
466,745,7625,<p>Try clearing your response and starting again.<br/><br/>What did the USSR want to prove by sending the first woman to space? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again.<br/><br/>What did Soviet leaders think launching the first woman would show about their society? Read the highlighted text for ideas.</p>
465,744,7560,<p>That&#x27;s true! Now be more specific. What did reformers do to create this new system?</p>,<p>Keep revising! Try to be even more specific. What is one action that reformers took to help create the state-run schools? Read the highlighted text for ideas.</p>
465,744,7562,<p>You&#x27;re on the right track! Now add more information. What was the purpose of this new organization?</p>,<p>Almost there! Add another detail. What was this group asked to do? Read the highlighted text for ideas.</p>
465,744,7564,"<p>Instead of focusing on Abdulhamid&#x27;s changes, write about how reformers tried to accomplish their goal. What did they do to create a state-run school system?</p>",<p>Revise your response. Write about what reformers did to create a new system. What is one step that they took to manage these schools? Read the highlighted text for ideas.</p>
465,744,7566,<p>Try clearing your response and starting again. That&#x27;s a reason why reformers wanted to establish a state-run system. Write about a step they took to create these new schools instead.</p>,<p>Try clearing your response and starting again. Write about how reformers tried to create a new system. What is one place they looked to when making these reforms? Read the highlighted text for ideas.</p>
465,744,7568,"<p>The Ottomans continued to have religious education, but these schools weren&#x27;t a result of their desire to build a new system. Write about a step that reformers took to create state-run schools instead.</p>",<p>Try clearing your response and starting again. Write about how reformers tried to create a new system. What is one place they looked for inspiration and support? Read the highlighted text for ideas.</p>
465,744,7570,<p>That&#x27;s true! Now add more information. Where did they get inspiration and help for this new system?</p>,<p>Almost there! Add another detail. Who helped inspire this new system? Read the highlighted text for ideas.</p>
465,744,7572,<p>That&#x27;s true! Now be more specific. Where did reformers look for inspiration for their new system?</p>,<p>Keep revising! Try to be even more specific. Which country helped inspire the new state-run system? Read the highlighted text for ideas.</p>
465,744,7574,<p>That&#x27;s true! Now add more information. How did this partnership help Tanzimat reformers establish their new system?</p>,<p>Keep revising! Add another detail. What did Ottoman reformers do with this outside help? Read the highlighted text for ideas.</p>
465,744,7576,<p>Secular schools aren&#x27;t focused on religion—that&#x27;s true. Write about a step that reformers took instead. What did Ottoman reformers do to create this secular school system?</p>,<p>Try clearing your response and starting again. <br/><br/>What is one action that reformers took to help create the state-run schools? Read the highlighted text for ideas.</p>
465,744,7578,<p>Try clearing your response and starting again. <br/><br/>What did Ottoman reformers do to create a new education system? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What is one action that reformers took to help create the state-run schools? Read the highlighted text for ideas.</p>
465,743,7540,<p>That&#x27;s true! Now add more information. What was the impact of this limited funding?</p>,<p>Keep revising! Add another detail. How did a lack of funding limit reformers&#x27; work? Read the highlighted text for ideas.</p>
465,743,7542,<p>That&#x27;s true! Now add more information. Why did some religious conservatives oppose the new school system?</p>,<p>Keep revising! Add another detail. What is one concern that some people had about the new schools? Read the highlighted text for ideas.</p>
465,743,7544,<p>That&#x27;s true! Now be more specific. What is one challenge that reformers faced?</p>,<p>Keep revising! Try to be even more specific. What is one thing that made it difficult to create state-run schools? Read the highlighted text for ideas.</p>
465,743,7546,<p>That&#x27;s true! Now add more information. How did limited funding impact the state-run schools?</p>,<p>Keep revising! Add another detail. How did a lack of funding limit reformers&#x27; work? Read the highlighted text for ideas.</p>
465,743,7548,<p>That&#x27;s true! Now be more specific. Who opposed the state-run school system?</p>,<p>You&#x27;re on the right track! Be more specific. What is one group that disliked the new schools? Read the highlighted text for ideas.</p>
465,743,7550,"<p>Instead of writing about what reformers had to do to accomplish their goals, focus on a challenge that they faced. What made it difficult to create a state-run school system?</p>",<p>Try clearing your response and starting again. Write about a challenge that reformers faced <strong>within</strong> the Ottoman Empire. Who didn&#x27;t support the new school system? Read the highlighted text for ideas.</p>
465,743,7552,<p>That&#x27;s true! Now add more information. What was the goal of maintaining a separate religious school system?</p>,<p>Keep revising! Add another detail. Why did Ottoman leaders want to keep the religious system in addition to the state-run schools? Read the highlighted text for ideas.</p>
465,743,7554,<p>You&#x27;re on the right track! Be more specific. Who changed the schools after the Tanzimat reforms?</p>,<p>Almost there! Be more specific. Who made Ottoman schools return to more traditional practices? Read the highlighted text for ideas.</p>
465,743,7556,<p>Try clearing your response and starting again. <br/><br/>What is one challenge that Tanzimat reformers faced? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What made it difficult to create state-run schools? Read the highlighted text for ideas.</p>
